# branch:    feature-nnp-verlet-cells
# exe:       /local/data/public/crm98/cp2k_binaries/phy-cerberus/feature-nnp-verlet-cells/cp2k.psmp
# MPI ranks: 36
# OMP threads: 1
# steps:     100
# n_molecules,walltime_s
64,0.754
256,1.830
512,3.090
1024,5.723
2048,11.613
4096,23.921
