   1    1        1.206807226       9.496569510       2.378895155
   1    2        0.734792716       4.947923555       1.382555817
   1    3        0.821097837       7.057717872       1.728063603
   1    4        0.548422859       3.728983275       1.057349663
   1    5        0.400806651       4.104535305       0.954905693
   1    6        0.362093522       2.255490957       0.672649318
   1    7        0.189191039       2.216569104       0.479456493
   1    8        0.267041787       1.325285465       0.436024193
   1    9        0.234325526       0.959858940       0.369950499
   1   10        0.222489101       2.748255131       0.566201220
   1   11        0.133742380       0.575557805       0.270392391
   1   12        0.120792149       1.716110936       0.306415696
   1   13        0.048458873       0.373523021       0.184526082
   1   14        0.027024967       0.906983649       0.150331927
   1   15        0.003196602       0.285379462       0.075056642
   1   16        0.000342824       0.315474021       0.043084205
   1   17        0.000246938       0.139876637       0.019069129
   1   18        0.005945338       0.570342976       0.026521474
   1   19        0.000348539       0.218238910       0.018621366
   1   20        0.054687114       1.649382709       0.155939150
   1   21        0.003407347       0.319499357       0.019852662
   1   22        0.000131214       0.105486852       0.007032451
   1   23        0.034368790       0.906933103       0.086229670
   1   24        0.000536382       0.157000817       0.005203487
   1   25        0.000868890       0.060887424       0.003867459
   1   26        0.008704025       0.196423810       0.024905006
   1   27        0.000236566       0.009821576       0.001997239
   2    1        1.693541445       9.888079717       2.765111634
   2    2        0.446766389       4.560205731       1.020847524
   2    3        1.282710108       7.448679736       2.114699325
   2    4        0.275760365       3.344352913       0.699730151
   2    5        0.821855400       4.494298093       1.345298635
   2    6        0.105170538       1.869930321       0.328902256
   2    7        0.569491417       2.604566922       0.872048386
   2    8        0.029954236       0.934300418       0.121377369
   2    9        0.518022256       1.855202348       0.739900998
   2   10        0.136617271       2.881214047       0.512850110
   2   11        0.361483898       1.076412043       0.540784782
   2   12        0.070248408       2.505436943       0.348964532
   2   13        0.189761418       0.651274679       0.369052164
   2   14        0.017690080       2.282155025       0.201880663
   2   15        0.028797276       0.419807107       0.150113283
   2   16        0.000169331       2.010184573       0.064394573
   2   17        0.002489981       0.339373284       0.018334093
   2   18        0.000022353       0.056254857       0.001086428
   2   19        0.056264103       2.946938869       0.222415692
   2   20        0.002175835       0.484365987       0.014479209
   2   21        0.008325480       0.268029317       0.032930270
   2   22        0.017021399       1.384229618       0.083562907
   2   23        0.019759832       0.408807193       0.051569891
   2   24        0.001184576       0.230970361       0.008047026
   2   25        0.000013571       0.035357206       0.000476618
   2   26        0.018031556       0.810121960       0.054512441
   2   27        0.007259412       0.771017814       0.040896728
   2   28        0.000060863       0.096427394       0.001356650
   2   29        0.005846924       0.101159461       0.016705905
   2   30        0.003472946       0.154135439       0.012066559
