# branch:      upstream-master
# exe:         /home/raid/crm98/cp2k_binaries/phy-cerberus/cp2k_master.psmp
# N_molecules: 64
# steps:       100
# mpi_ranks,omp_threads,total_cores,walltime_s,speedup
1,1,1,12.353,1.00
2,1,2,7.011,1.76
4,1,4,4.563,2.71
8,1,8,2.291,5.39
16,1,16,1.357,9.10
32,1,32,0.964,12.81
