lag_ps,msd_mean,msd_sem
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.139527999999999895e-03,2.232038082112398570e-06
1.000000000000000021e-02,4.410455999999999231e-03,8.599863138445936942e-06
1.499999999999999944e-02,9.714257999999999921e-03,1.902148742869478094e-05
2.000000000000000042e-02,1.686976000000000100e-02,3.326635221962276752e-05
2.500000000000000139e-02,2.577968200000000515e-02,5.131282231567466594e-05
2.999999999999999889e-02,3.619136199999999776e-02,7.282153928612015439e-05
3.500000000000000333e-02,4.790042600000000289e-02,9.744496793575402013e-05
4.000000000000000083e-02,6.073125199999999252e-02,1.250116921491745223e-04
4.499999999999999833e-02,7.455305400000000748e-02,1.553309269141201572e-04
5.000000000000000278e-02,8.917447199999999075e-02,1.882414034531196159e-04
5.500000000000000028e-02,1.043876520000000252e-01,2.233992806479007727e-04
5.999999999999999778e-02,1.200617920000000005e-01,2.607306112331261578e-04
6.500000000000000222e-02,1.360875679999999921e-01,3.000984218785567731e-04
7.000000000000000666e-02,1.523427760000000131e-01,3.413744020661183833e-04
7.499999999999999722e-02,1.686867019999999939e-01,3.842644052914596193e-04
8.000000000000000167e-02,1.850611919999999855e-01,4.285911160465218149e-04
8.500000000000000611e-02,2.014432159999999805e-01,4.742503338596633930e-04
8.999999999999999667e-02,2.177912100000000406e-01,5.210731397798223094e-04
9.500000000000000111e-02,2.340507539999999997e-01,5.688379081302515419e-04
1.000000000000000056e-01,2.502181680000000186e-01,6.173513138351634016e-04
1.049999999999999961e-01,2.663280540000000363e-01,6.665496526111108809e-04
1.100000000000000006e-01,2.823870579999999686e-01,7.163414121171570283e-04
1.150000000000000050e-01,2.983831499999999859e-01,7.665727907968029105e-04
1.199999999999999956e-01,3.143370500000000622e-01,8.171648396437467812e-04
1.250000000000000000e-01,3.302956000000000225e-01,8.681026775387767555e-04
1.300000000000000044e-01,3.462803380000000208e-01,9.194338137593138305e-04
1.350000000000000089e-01,3.622817859999999390e-01,9.711163409942240180e-04
1.400000000000000133e-01,3.783137220000000189e-01,1.023172306580867824e-03
1.449999999999999900e-01,3.944066399999999750e-01,1.075679036618263718e-03
1.499999999999999944e-01,4.105699259999999740e-01,1.128753722574586237e-03
1.549999999999999989e-01,4.267815779999999393e-01,1.182438210370414730e-03
1.600000000000000033e-01,4.430341159999999223e-01,1.236761939289856248e-03
1.650000000000000078e-01,4.593383299999999059e-01,1.291843593044449037e-03
1.700000000000000122e-01,4.756870599999999949e-01,1.347787967107581548e-03
