lag_ps,msd_mean,msd_sem
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.134966000000000056e-03,8.187172649944533570e-06
1.000000000000000021e-02,4.392642000000000421e-03,3.189155380347587324e-05
1.499999999999999944e-02,9.674485999999999503e-03,7.089636666289737105e-05
2.000000000000000042e-02,1.679947400000000174e-02,1.246635067932876562e-04
2.500000000000000139e-02,2.567022999999999874e-02,1.930939777931978661e-04
2.999999999999999889e-02,3.603429200000000249e-02,2.753947622849787233e-04
3.500000000000000333e-02,4.768769800000000059e-02,3.704070250602707593e-04
4.000000000000000083e-02,6.045477999999999963e-02,4.777176451943129678e-04
4.499999999999999833e-02,7.420507199999999692e-02,5.965757962103391014e-04
5.000000000000000278e-02,8.874712399999999668e-02,7.268325882113443881e-04
5.500000000000000028e-02,1.038735779999999942e-01,8.673862580673039014e-04
5.999999999999999778e-02,1.194535600000000003e-01,1.018149443122178151e-03
6.500000000000000222e-02,1.353782400000000108e-01,1.178526189471408667e-03
7.000000000000000666e-02,1.515257980000000171e-01,1.348207929814243316e-03
7.499999999999999722e-02,1.677563539999999964e-01,1.526062538317480340e-03
8.000000000000000167e-02,1.840123279999999750e-01,1.711375823772792173e-03
8.500000000000000611e-02,2.002712279999999956e-01,1.903673861083877636e-03
8.999999999999999667e-02,2.164922080000000193e-01,2.102378006383247462e-03
9.500000000000000111e-02,2.326215600000000328e-01,2.306701939098330326e-03
1.000000000000000056e-01,2.486562999999999968e-01,2.515797318090226206e-03
1.049999999999999961e-01,2.646314020000000156e-01,2.729413607365878489e-03
1.100000000000000006e-01,2.805541500000000577e-01,2.947074525961295398e-03
1.150000000000000050e-01,2.964130719999999442e-01,3.168164659896005250e-03
1.199999999999999956e-01,3.122293099999999821e-01,3.392057205651166640e-03
1.250000000000000000e-01,3.280498820000000149e-01,3.618652868939485883e-03
1.300000000000000044e-01,3.438964839999999468e-01,3.847955399592883647e-03
1.350000000000000089e-01,3.597598539999999900e-01,4.079696000925318693e-03
1.400000000000000133e-01,3.756537299999999635e-01,4.313714757042942834e-03
1.449999999999999900e-01,3.916084159999999592e-01,4.550202149377102420e-03
1.499999999999999944e-01,4.076329819999999771e-01,4.789573222554801939e-03
1.549999999999999989e-01,4.237053100000000017e-01,5.031921989656640455e-03
1.600000000000000033e-01,4.398175860000000381e-01,5.277319495231082638e-03
1.650000000000000078e-01,4.559802279999999319e-01,5.526152693566657552e-03
1.700000000000000122e-01,4.721856560000000647e-01,5.778874774940707774e-03
1.749999999999999889e-01,4.884030759999999916e-01,6.035672594417800310e-03
1.799999999999999933e-01,5.046106240000000076e-01,6.296488260334173748e-03
1.849999999999999978e-01,5.208076139999999743e-01,6.561561872717953069e-03
1.900000000000000022e-01,5.369815820000000128e-01,6.831123069999102577e-03
1.950000000000000067e-01,5.531022799999999462e-01,7.105219290772103735e-03
2.000000000000000111e-01,5.691477659999999439e-01,7.383658311825910120e-03
2.049999999999999878e-01,5.851155099999999498e-01,7.666475737503501697e-03
2.099999999999999922e-01,6.009984800000000016e-01,7.953777487414400924e-03
2.149999999999999967e-01,6.167741720000000649e-01,8.245475001597795187e-03
2.200000000000000011e-01,6.324277520000000097e-01,8.541299992817479730e-03
2.250000000000000056e-01,6.479606079999998824e-01,8.841133788183162118e-03
2.300000000000000100e-01,6.633726880000000437e-01,9.145000511916002994e-03
2.349999999999999867e-01,6.786506599999999612e-01,9.452749380559614945e-03
