lag_fs,running_eta_mean,running_eta_sem
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,2.249617799999999862e-02,1.206849793636312340e-04
1.000000000000000000e+00,4.311903599999999948e-02,2.276640386973747664e-04
1.500000000000000000e+00,6.021475400000000228e-02,3.091814260365591737e-04
2.000000000000000000e+00,7.253858400000000317e-02,3.572464890324325787e-04
2.500000000000000000e+00,7.939026000000000416e-02,3.693246014416045036e-04
3.000000000000000000e+00,8.068037200000000020e-02,3.502105876811842031e-04
3.500000000000000000e+00,7.692357800000000634e-02,3.149814613655863992e-04
4.000000000000000000e+00,6.916415600000000441e-02,2.922045422405344928e-04
4.500000000000000000e+00,5.884658799999999829e-02,3.136038631043950556e-04
5.000000000000000000e+00,4.764796799999999888e-02,3.816945679388172538e-04
5.500000000000000000e+00,3.729097399999999757e-02,4.714062089599583920e-04
6.000000000000000000e+00,2.935621600000000095e-02,5.589696911425515906e-04
6.500000000000000000e+00,2.511209799999999936e-02,6.304181999942578022e-04
7.000000000000000000e+00,2.537884200000000215e-02,6.803928218786556683e-04
7.500000000000000000e+00,3.044098799999999522e-02,7.107663833736094878e-04
8.000000000000000000e+00,4.001906800000000486e-02,7.291644366012366369e-04
8.500000000000000000e+00,5.330548400000000020e-02,7.462325334545527687e-04
9.000000000000000000e+00,6.906246999999998692e-02,7.712788779942052501e-04
9.500000000000000000e+00,8.577180599999999211e-02,8.079548755753625895e-04
1.000000000000000000e+01,1.018179760000000045e-01,8.530441252514425320e-04
1.050000000000000000e+01,1.156812039999999958e-01,8.992758575242621550e-04
1.100000000000000000e+01,1.261150040000000028e-01,9.397290164701715140e-04
1.150000000000000000e+01,1.322858339999999910e-01,9.711770390593047701e-04
1.200000000000000000e+01,1.338587960000000021e-01,9.954214809496497035e-04
1.250000000000000000e+01,1.310219699999999876e-01,1.018572541471643922e-03
1.300000000000000000e+01,1.244504619999999839e-01,1.048503446438779282e-03
1.350000000000000000e+01,1.152183260000000098e-01,1.091221251087973187e-03
1.400000000000000000e+01,1.046712800000000054e-01,1.147958629380867440e-03
1.450000000000000000e+01,9.427555999999999437e-02,1.214734030695608247e-03
1.500000000000000000e+01,8.545901000000000192e-02,1.284459496862395142e-03
1.550000000000000000e+01,7.945994199999999175e-02,1.349915015656170513e-03
1.600000000000000000e+01,7.719814999999999316e-02,1.406086651344786451e-03
1.650000000000000000e+01,7.918043199999999504e-02,1.451191984667776682e-03
1.700000000000000000e+01,8.545044199999998757e-02,1.486469056897587798e-03
1.750000000000000000e+01,9.558869000000000393e-02,1.514973663764490608e-03
1.800000000000000000e+01,1.087636599999999981e-01,1.539905340347256287e-03
1.850000000000000000e+01,1.238290780000000091e-01,1.563095757435862317e-03
1.900000000000000000e+01,1.394563980000000092e-01,1.584345520615372234e-03
1.950000000000000000e+01,1.542865219999999815e-01,1.601901981028801139e-03
2.000000000000000000e+01,1.670820199999999978e-01,1.613813692177629633e-03
2.050000000000000000e+01,1.768610939999999965e-01,1.619453690852565774e-03
2.100000000000000000e+01,1.829975620000000025e-01,1.620512196709424958e-03
2.150000000000000000e+01,1.852763940000000109e-01,1.621049657032752264e-03
2.200000000000000000e+01,1.839006280000000104e-01,1.626473817232849776e-03
2.250000000000000000e+01,1.794518199999999841e-01,1.641804661240184315e-03
2.300000000000000000e+01,1.728111820000000076e-01,1.669912585839149503e-03
2.350000000000000000e+01,1.650523300000000249e-01,1.710638160599722759e-03
2.400000000000000000e+01,1.573182860000000016e-01,1.761182580190366262e-03
2.450000000000000000e+01,1.506961779999999584e-01,1.817456588937956625e-03
2.500000000000000000e+01,1.461022680000000074e-01,1.875591569133323823e-03
2.550000000000000000e+01,1.441886059999999969e-01,1.932927405658579510e-03
2.600000000000000000e+01,1.452802480000000007e-01,1.988212107480988138e-03
2.650000000000000000e+01,1.493490319999999927e-01,2.041132616473997907e-03
2.700000000000000000e+01,1.560261479999999756e-01,2.091544644403749847e-03
2.750000000000000000e+01,1.646517660000000327e-01,2.138798650901013558e-03
2.800000000000000000e+01,1.743556819999999841e-01,2.181531214836038290e-03
2.850000000000000000e+01,1.841594499999999746e-01,2.217999525074339055e-03
2.900000000000000000e+01,1.930880319999999928e-01,2.246805171249610135e-03
2.950000000000000000e+01,2.002778919999999852e-01,2.267693365985356483e-03
3.000000000000000000e+01,2.050695180000000339e-01,2.282062966025258550e-03
3.050000000000000000e+01,2.070744999999999947e-01,2.292984295351800823e-03
3.100000000000000000e+01,2.062107679999999887e-01,2.304614665069629979e-03
3.150000000000000000e+01,2.027036220000000277e-01,2.321222964022197962e-03
3.200000000000000000e+01,1.970539060000000009e-01,2.346132930757760700e-03
3.250000000000000000e+01,1.899781359999999919e-01,2.381008233867746345e-03
3.300000000000000000e+01,1.823278660000000051e-01,2.425735280001919698e-03
3.350000000000000000e+01,1.749972719999999815e-01,2.478853366793609420e-03
3.400000000000000000e+01,1.688286440000000277e-01,2.538250143265238356e-03
3.450000000000000000e+01,1.645253180000000037e-01,2.601767071875190750e-03
3.500000000000000000e+01,1.625808180000000158e-01,2.667443651148790947e-03
3.550000000000000000e+01,1.632311699999999810e-01,2.733445773530179725e-03
3.600000000000000000e+01,1.664351680000000222e-01,2.797782807119593776e-03
3.650000000000000000e+01,1.718844459999999963e-01,2.858092560622554901e-03
3.700000000000000000e+01,1.790421799999999952e-01,2.911647295520183257e-03
3.750000000000000000e+01,1.872058400000000122e-01,2.955693280881829203e-03
3.800000000000000000e+01,1.955870319999999940e-01,2.988008380034098705e-03
3.850000000000000000e+01,2.033991920000000064e-01,3.007535745043440553e-03
3.900000000000000000e+01,2.099432520000000246e-01,3.014841319269389447e-03
3.950000000000000000e+01,2.146816579999999974e-01,3.012258286436273868e-03
4.000000000000000000e+01,2.172927060000000021e-01,3.003593181069302061e-03
4.050000000000000000e+01,2.176995380000000258e-01,2.993452575310659100e-03
4.100000000000000000e+01,2.160712580000000160e-01,2.986366681893564898e-03
4.150000000000000000e+01,2.127967379999999853e-01,2.985977477050690086e-03
4.200000000000000000e+01,2.084347499999999742e-01,2.994567361615029216e-03
4.250000000000000000e+01,2.036464999999999803e-01,3.013045235183170033e-03
4.300000000000000000e+01,1.991183679999999900e-01,3.041299442592589226e-03
4.350000000000000000e+01,1.954835659999999975e-01,3.078662512684037823e-03
