lag_fs,running_eta_mean,running_eta_sem
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,2.215584400000000093e-02,1.819388414715228375e-04
1.000000000000000000e+00,4.247475800000000135e-02,3.450247505817521151e-04
1.500000000000000000e+00,5.933510800000000446e-02,4.731399168575819601e-04
2.000000000000000000e+00,7.151657800000001119e-02,5.552574956576444582e-04
2.500000000000000000e+00,7.833287999999999363e-02,5.872021479269298131e-04
3.000000000000000000e+00,7.969666400000000039e-02,5.727569319755100065e-04
3.500000000000000000e+00,7.611264799999999109e-02,5.243844598994139338e-04
4.000000000000000000e+00,6.860443400000000580e-02,4.636429509288374131e-04
4.500000000000000000e+00,5.858744400000000241e-02,4.190594286327418224e-04
5.000000000000000000e+00,4.770466400000000079e-02,4.133897913301682854e-04
5.500000000000000000e+00,3.764335600000000281e-02,4.436253149967883192e-04
6.000000000000000000e+00,2.995135400000000295e-02,4.857104712954004211e-04
6.500000000000000000e+00,2.587051799999999860e-02,5.177869158485948848e-04
7.000000000000000000e+00,2.620367399999999972e-02,5.311699265828209509e-04
7.500000000000000000e+00,3.122906400000000082e-02,5.314249751244289706e-04
8.000000000000000000e+00,4.067264999999999769e-02,5.361055906908637802e-04
8.500000000000000000e+00,5.374334000000000749e-02,5.662730641130659347e-04
9.000000000000000000e+00,6.922903599999999380e-02,6.312710064829531523e-04
9.500000000000000000e+00,8.564330400000000343e-02,7.216855030316188680e-04
1.000000000000000000e+01,1.014048300000000014e-01,8.183664130632442579e-04
1.050000000000000000e+01,1.150265139999999964e-01,9.036948311050588224e-04
1.100000000000000000e+01,1.252892840000000008e-01,9.668278717207103370e-04
1.150000000000000000e+01,1.313786960000000170e-01,1.004924596860877701e-03
1.200000000000000000e+01,1.329685899999999976e-01,1.022422890300294686e-03
1.250000000000000000e+01,1.302446260000000022e-01,1.028773641451803103e-03
1.300000000000000000e+01,1.238687800000000117e-01,1.034597955173891751e-03
1.350000000000000000e+01,1.148929340000000021e-01,1.047116555253521392e-03
1.400000000000000000e+01,1.046341939999999998e-01,1.067069479779081398e-03
1.450000000000000000e+01,9.452704600000000346e-02,1.089237896226532502e-03
1.500000000000000000e+01,8.596796599999999289e-02,1.106135187418788883e-03
1.550000000000000000e+01,8.016775600000000668e-02,1.112494561823112668e-03
1.600000000000000000e+01,7.802548000000000816e-02,1.108491221142505210e-03
1.650000000000000000e+01,8.003617999999998456e-02,1.100803906029587534e-03
1.700000000000000000e+01,8.624185199999999385e-02,1.100983227989417749e-03
1.750000000000000000e+01,9.623146399999998879e-02,1.120822925731802897e-03
1.800000000000000000e+01,1.091909920000000006e-01,1.166319740651765692e-03
1.850000000000000000e+01,1.239986239999999879e-01,1.234301550892647837e-03
1.900000000000000000e+01,1.393544100000000119e-01,1.314435627267457676e-03
1.950000000000000000e+01,1.539287719999999915e-01,1.394505038755329768e-03
2.000000000000000000e+01,1.665115039999999769e-01,1.465004248603395251e-03
2.050000000000000000e+01,1.761427740000000020e-01,1.521348908047065983e-03
2.100000000000000000e+01,1.822109000000000090e-01,1.563827735404382628e-03
2.150000000000000000e+01,1.845064479999999896e-01,1.595997926970456598e-03
2.200000000000000000e+01,1.832288120000000187e-01,1.622275467146069069e-03
2.250000000000000000e+01,1.789472879999999821e-01,1.645665495656392814e-03
2.300000000000000000e+01,1.725237839999999578e-01,1.666567392185508336e-03
2.350000000000000000e+01,1.650078399999999890e-01,1.683157022939331436e-03
2.400000000000000000e+01,1.575163800000000114e-01,1.693018829050641633e-03
2.450000000000000000e+01,1.511112879999999825e-01,1.695175439865737738e-03
2.500000000000000000e+01,1.466871379999999947e-01,1.691520864362600117e-03
2.550000000000000000e+01,1.448801239999999990e-01,1.687062342204932600e-03
2.600000000000000000e+01,1.460068520000000203e-01,1.688673377650045260e-03
2.650000000000000000e+01,1.500388559999999982e-01,1.702633016661545895e-03
2.700000000000000000e+01,1.566150540000000035e-01,1.731977093375082185e-03
2.750000000000000000e+01,1.650903260000000095e-01,1.775087909996573383e-03
2.800000000000000000e+01,1.746144380000000107e-01,1.826366224420502421e-03
2.850000000000000000e+01,1.842318620000000240e-01,1.878519618474612822e-03
2.900000000000000000e+01,1.929908020000000168e-01,1.925135722650221475e-03
2.950000000000000000e+01,2.000487420000000294e-01,1.962401320602896564e-03
3.000000000000000000e+01,2.047626459999999926e-01,1.989545527600714535e-03
3.050000000000000000e+01,2.067542440000000037e-01,2.008120575935615128e-03
3.100000000000000000e+01,2.059442600000000179e-01,2.020586115049296042e-03
3.150000000000000000e+01,2.025532039999999867e-01,2.028838189722383459e-03
3.200000000000000000e+01,1.970701800000000115e-01,2.033324311864686835e-03
3.250000000000000000e+01,1.901943919999999899e-01,2.033127898021665301e-03
3.300000000000000000e+01,1.827564979999999895e-01,2.026932329826037094e-03
3.350000000000000000e+01,1.756285400000000274e-01,2.014390832713453764e-03
3.400000000000000000e+01,1.696318400000000060e-01,1.997271164676944506e-03
3.450000000000000000e+01,1.654522540000000208e-01,1.979834725942040616e-03
3.500000000000000000e+01,1.635711560000000231e-01,1.968134811331785899e-03
3.550000000000000000e+01,1.642190080000000274e-01,1.968293193778300563e-03
3.600000000000000000e+01,1.673561600000000038e-01,1.984306677640834422e-03
3.650000000000000000e+01,1.726827039999999924e-01,2.016422879883084714e-03
3.700000000000000000e+01,1.796761119999999989e-01,2.060945249727413019e-03
3.750000000000000000e+01,1.876523920000000012e-01,2.111591635585344674e-03
3.800000000000000000e+01,1.958438100000000071e-01,2.161643359814470738e-03
3.850000000000000000e+01,2.034842740000000205e-01,2.205831199284296641e-03
3.900000000000000000e+01,2.098927559999999859e-01,2.241378884516400261e-03
3.950000000000000000e+01,2.145453639999999884e-01,2.267998905153176606e-03
4.000000000000000000e+01,2.171282360000000300e-01,2.287092838051397927e-03
4.050000000000000000e+01,2.175657839999999843e-01,2.300585552555263220e-03
4.100000000000000000e+01,2.160217740000000275e-01,2.309886965688148081e-03
4.150000000000000000e+01,2.128738499999999756e-01,2.315436819040849175e-03
4.200000000000000000e+01,2.086649759999999743e-01,2.316988845125498957e-03
4.250000000000000000e+01,2.040377620000000114e-01,2.314448411035340512e-03
4.300000000000000000e+01,1.996593160000000033e-01,2.308828087887012954e-03
4.350000000000000000e+01,1.961450360000000226e-01,2.302823461752115126e-03
4.400000000000000000e+01,1.939898800000000034e-01,2.300611884079969971e-03
4.450000000000000000e+01,1.935145079999999740e-01,2.306821768662245965e-03
4.500000000000000000e+01,1.948321980000000120e-01,2.324919631366641638e-03
4.550000000000000000e+01,1.978398339999999922e-01,2.355728318765979400e-03
4.600000000000000000e+01,2.022336720000000310e-01,2.396774474216128558e-03
4.650000000000000000e+01,2.075476580000000237e-01,2.442859490702236572e-03
4.700000000000000000e+01,2.132095560000000223e-01,2.487540670040588441e-03
4.750000000000000000e+01,2.186079819999999785e-01,2.524867259519595567e-03
4.800000000000000000e+01,2.231625580000000109e-01,2.550734249602259682e-03
4.850000000000000000e+01,2.263889339999999861e-01,2.563485309808892412e-03
4.900000000000000000e+01,2.279515000000000013e-01,2.563745827867889779e-03
4.950000000000000000e+01,2.276981080000000102e-01,2.553680946483724307e-03
5.000000000000000000e+01,2.256733679999999853e-01,2.536001496709730171e-03
5.050000000000000000e+01,2.221097819999999778e-01,2.513134210211222762e-03
5.100000000000000000e+01,2.173982160000000052e-01,2.486849856912555848e-03
5.150000000000000000e+01,2.120417080000000232e-01,2.458468121238100833e-03
5.200000000000000000e+01,2.065980820000000162e-01,2.429474843387763316e-03
5.250000000000000000e+01,2.016179939999999671e-01,2.402186606859675524e-03
5.300000000000000000e+01,1.975853919999999986e-01,2.380000069131088612e-03
5.350000000000000000e+01,1.948668679999999986e-01,2.366986421696161240e-03
5.400000000000000000e+01,1.936753860000000049e-01,2.366757458470551603e-03
5.450000000000000000e+01,1.940520899999999827e-01,2.381101701490297325e-03
5.500000000000000000e+01,1.958678580000000058e-01,2.408944402076147653e-03
5.550000000000000000e+01,1.988440139999999856e-01,2.446290358065863254e-03
5.600000000000000000e+01,2.025892779999999838e-01,2.487184531066000126e-03
5.650000000000000000e+01,2.066483820000000193e-01,2.525264539170897320e-03
5.700000000000000000e+01,2.105563619999999969e-01,2.555283699099572276e-03
5.750000000000000000e+01,2.138920940000000326e-01,2.574107270269832080e-03
5.800000000000000000e+01,2.163249399999999656e-01,2.581010893626759298e-03
5.850000000000000000e+01,2.176492719999999770e-01,2.577296421701238786e-03
5.900000000000000000e+01,2.178033179999999958e-01,2.565497519884590589e-03
5.950000000000000000e+01,2.168706139999999893e-01,2.548467697771743170e-03
6.000000000000000000e+01,2.150644500000000181e-01,2.528702416669464416e-03
6.050000000000000000e+01,2.126975540000000109e-01,2.508111781951915045e-03
6.100000000000000000e+01,2.101410420000000001e-01,2.488295780917936396e-03
6.150000000000000000e+01,2.077776580000000040e-01,2.471046553993670996e-03
6.200000000000000000e+01,2.059549660000000171e-01,2.458775902965944053e-03
6.250000000000000000e+01,2.049440500000000165e-01,2.454456440428306064e-03
6.300000000000000000e+01,2.049085039999999913e-01,2.460983451684712123e-03
6.350000000000000000e+01,2.058871359999999984e-01,2.480105229133632017e-03
6.400000000000000000e+01,2.077920979999999529e-01,2.511439977010003141e-03
6.450000000000000000e+01,2.104221820000000132e-01,2.552084203635137001e-03
6.500000000000000000e+01,2.134892079999999859e-01,2.597085671021269644e-03
6.550000000000000000e+01,2.166538759999999952e-01,2.640593772359920918e-03
6.600000000000000000e+01,2.195664340000000048e-01,2.677217714231696320e-03
6.650000000000000000e+01,2.219071800000000094e-01,2.703116048592807061e-03
6.700000000000000000e+01,2.234220000000000095e-01,2.716562263967092165e-03
6.750000000000000000e+01,2.239490660000000022e-01,2.717900502155291831e-03
6.800000000000000000e+01,2.234338999999999908e-01,2.709032214319345364e-03
6.850000000000000000e+01,2.219316360000000155e-01,2.692653264240683301e-03
6.900000000000000000e+01,2.195968020000000076e-01,2.671506137109550851e-03
6.950000000000000000e+01,2.166622600000000232e-01,2.647919838765894294e-03
7.000000000000000000e+01,2.134102200000000116e-01,2.623707895584035613e-03
7.050000000000000000e+01,2.101390160000000118e-01,2.600423723496999868e-03
7.100000000000000000e+01,2.071296460000000006e-01,2.579729583056333472e-03
7.150000000000000000e+01,2.046159260000000035e-01,2.563604615596174006e-03
7.200000000000000000e+01,2.027616680000000060e-01,2.554182128810316473e-03
7.250000000000000000e+01,2.016470920000000278e-01,2.553224697807462626e-03
7.300000000000000000e+01,2.012657139999999845e-01,2.561419398920452770e-03
7.350000000000000000e+01,2.015313879999999780e-01,2.577862556220557669e-03
