# branch:      feature-nnp-verlet-cells
# exe:         /local/data/public/crm98/cp2k_binaries/phy-cerberus/feature-nnp-verlet-cells/cp2k.psmp
# N_molecules: 64
# steps:       100
# mpi_ranks,omp_threads,total_cores,walltime_s,speedup
1,1,1,7.903,1.00
2,1,2,4.587,1.72
4,1,4,2.682,2.95
8,1,8,1.509,5.24
16,1,16,0.996,7.93
32,1,32,0.804,9.83
