lag_ps,msd_seg1_A2,msd_seg2_A2,msd_seg3_A2,msd_seg4_A2,msd_seg5_A2
0.000000000000000000e+00,3.992031858290543465e-13,5.837739031852511784e-13,4.430583265044154780e-13,6.336993280240303800e-13,7.939590897868044776e-13
1.000000000000000056e-01,2.294304475293137968e-01,2.229214492541734538e-01,2.291277512490339785e-01,2.267870399054117136e-01,2.225040575977284552e-01
2.000000000000000111e-01,4.991333904815198896e-01,4.799671240507603076e-01,4.987532734626133890e-01,4.931533948091683661e-01,4.801907481992849780e-01
2.999999999999999889e-01,6.999083631238204317e-01,6.644606792824701014e-01,6.994643100681432468e-01,6.894855402672130928e-01,6.652790940523495289e-01
4.000000000000000222e-01,8.206280876280458436e-01,7.671838538310882250e-01,8.190552822553617274e-01,8.041068344827858594e-01,7.682225470352362917e-01
5.000000000000000000e-01,9.065527076929983386e-01,8.361087970650814549e-01,9.034991622923734811e-01,8.842751785668730991e-01,8.371579057826221693e-01
5.999999999999999778e-01,9.859210127668622814e-01,9.001106385023174283e-01,9.811994785436575217e-01,9.589884024365515902e-01,9.024443380729607611e-01
7.000000000000000666e-01,1.062133780070817934e+00,9.614966340361603692e-01,1.055855108408622733e+00,1.031382554414622676e+00,9.657936239901411257e-01
8.000000000000000444e-01,1.134726285363169440e+00,1.019806348567145138e+00,1.126250490034683249e+00,1.100040540248153897e+00,1.025606368696844406e+00
9.000000000000000222e-01,1.205211842738458827e+00,1.076553810713735349e+00,1.193949035952347248e+00,1.166537531148879037e+00,1.083147803724195279e+00
1.000000000000000000e+00,1.274599831946371609e+00,1.132702588630131180e+00,1.260548365069017240e+00,1.232161857282941364e+00,1.139892564336438596e+00
1.100000000000000089e+00,1.342263566923657336e+00,1.187339394357193045e+00,1.325889509088522766e+00,1.297117257394936107e+00,1.195592070883645164e+00
1.199999999999999956e+00,1.407903152156278814e+00,1.240591426222660720e+00,1.389810124780141098e+00,1.360756579826945645e+00,1.249451859361863981e+00
1.300000000000000044e+00,1.472407595904120736e+00,1.292848620894440304e+00,1.452684622471576148e+00,1.423015615061102190e+00,1.301442767619043872e+00
1.400000000000000133e+00,1.536015416876410633e+00,1.344098786385177657e+00,1.514594954418862160e+00,1.483875429364251985e+00,1.352647405709028527e+00
1.500000000000000000e+00,1.598849104195819493e+00,1.393871036552460030e+00,1.574837206999509132e+00,1.543649736243326132e+00,1.403724309332455844e+00
1.600000000000000089e+00,1.660837646729762973e+00,1.442561363408904951e+00,1.632948006014378173e+00,1.602661294779711865e+00,1.454468222114157605e+00
1.699999999999999956e+00,1.721837498826340074e+00,1.490464773426947831e+00,1.688983935627010879e+00,1.661018516059837191e+00,1.504424837299174422e+00
1.800000000000000044e+00,1.781951021331033891e+00,1.537422451584452343e+00,1.744264442245893054e+00,1.718674320936768307e+00,1.553734961125589953e+00
1.900000000000000133e+00,1.841855683806322697e+00,1.583783201437307886e+00,1.801875892149350511e+00,1.775431616354304465e+00,1.602604838655875552e+00
2.000000000000000000e+00,1.901611342902754576e+00,1.629529994896276479e+00,1.862847571914698852e+00,1.831571881663439871e+00,1.650845210602464919e+00
2.100000000000000089e+00,1.961021763194620293e+00,1.674634197266764879e+00,1.923706681947021657e+00,1.887381908393629182e+00,1.699036239400733450e+00
