lag_ps,msd_seg1_A2,msd_seg2_A2,msd_seg3_A2,msd_seg4_A2,msd_seg5_A2
1.760000000000000142e+01,8.576246260485547168e+00,8.293392143620588186e+00,8.048971249217876434e+00,9.785216301863583155e+00,9.726345922735530891e+00
1.769999999999999929e+01,8.618946319696062730e+00,8.334824010338772737e+00,8.089794430290575988e+00,9.834679936575129844e+00,9.778973140102140249e+00
1.780000000000000071e+01,8.662125748626190003e+00,8.376598354519078526e+00,8.130081492909035035e+00,9.883525275451367165e+00,9.831378074281589718e+00
1.790000000000000213e+01,8.705609929483800968e+00,8.417751018348514691e+00,8.170544532054780262e+00,9.931845332287567274e+00,9.883300652795242058e+00
1.800000000000000000e+01,8.749826906587685471e+00,8.458599674642266919e+00,8.211468075274275691e+00,9.979704606904137520e+00,9.935170137770796828e+00
1.810000000000000142e+01,8.794983918244922094e+00,8.499468150300057090e+00,8.252286340914750440e+00,1.002684091851379478e+01,9.987359273332419463e+00
1.819999999999999929e+01,8.840344663701195316e+00,8.540405992487292153e+00,8.292877960641918733e+00,1.007351370376255595e+01,1.003943466956722830e+01
1.830000000000000071e+01,8.885247499142481686e+00,8.581543117602414839e+00,8.332898717575908165e+00,1.012011203882981825e+01,1.009152970300320717e+01
1.840000000000000213e+01,8.929552094215969404e+00,8.622969947072213870e+00,8.372854486734343737e+00,1.016667936610659240e+01,1.014411058970358503e+01
1.850000000000000000e+01,8.973887510801100476e+00,8.664337508040343749e+00,8.413371611272632222e+00,1.021398097707368358e+01,1.019679338645302202e+01
1.860000000000000142e+01,9.018727632968024821e+00,8.705861514611330065e+00,8.454076647912399878e+00,1.026179701076734752e+01,1.024979032389035005e+01
1.869999999999999929e+01,9.063223527881779873e+00,8.747644135649231600e+00,8.493965720156769095e+00,1.030925657403535389e+01,1.030266439453693827e+01
1.880000000000000071e+01,9.107127490371400569e+00,8.789761993722871480e+00,8.533377342079797145e+00,1.035626900021983410e+01,1.035539685962027789e+01
