lag_ps,msd_Na_seg1_A2,msd_Cl_seg1_A2,msd_Na_seg2_A2,msd_Cl_seg2_A2,msd_Na_seg3_A2,msd_Cl_seg3_A2,msd_Na_seg4_A2,msd_Cl_seg4_A2,msd_Na_seg5_A2,msd_Cl_seg5_A2
2.600000000000000089e-01,3.616850116621195266e-01,4.515197577276492402e-01,3.591650818066416950e-01,4.493983712648880746e-01,3.532749287044636421e-01,4.434929966566806270e-01,3.768887589278399064e-01,4.495404032081624646e-01,3.603031820213813408e-01,4.614431260469271101e-01
2.700000000000000178e-01,3.695331241465219518e-01,4.675765111436728794e-01,3.670425298800807923e-01,4.654568696907783187e-01,3.609257608717907906e-01,4.591360271374974600e-01,3.855989815028711409e-01,4.656375181778066308e-01,3.682310829677059583e-01,4.784423369615637966e-01
2.800000000000000266e-01,3.770554172900044132e-01,4.829034931304426737e-01,3.746358783996363018e-01,4.808048371452855463e-01,3.682655464008885438e-01,4.740473418664426508e-01,3.939475558925443766e-01,4.810132004182858245e-01,3.758207236428272036e-01,4.947157199533004923e-01
2.899999999999999800e-01,3.843367978390688222e-01,4.974966714230630860e-01,3.820273460290890544e-01,4.954436087180688064e-01,3.753647800938229584e-01,4.882250953161562657e-01,4.019922194864559706e-01,4.956632928304682273e-01,3.831437831380147263e-01,5.102500440108757029e-01
2.999999999999999889e-01,3.914430666589636676e-01,5.113648055994859387e-01,3.892754358513646484e-01,5.093866974218346222e-01,3.822813091461038648e-01,5.016801210025505497e-01,4.097700512008973228e-01,5.095967675531546393e-01,3.902564709252058228e-01,5.250463712614974465e-01
3.099999999999999978e-01,3.984198608878589121e-01,5.245260572640467744e-01,3.964138389866036505e-01,5.226558496907437457e-01,3.890603940943688221e-01,5.144324910144431051e-01,4.173012961604961601e-01,5.228318293442586473e-01,3.972003673742265928e-01,5.391170707301158327e-01
3.200000000000000067e-01,4.052948885153695446e-01,5.370043066124279285e-01,4.034543950557999969e-01,5.352764883109747407e-01,3.957365367839650316e-01,5.265074315432419771e-01,4.245965031987945504e-01,5.353921916966631889e-01,4.040049669166718704e-01,5.524827169786021841e-01
3.300000000000000155e-01,4.120821166000483426e-01,5.488262294942197750e-01,4.103932649383005282e-01,5.472741243850376414e-01,4.023349854636187883e-01,5.379321738918937390e-01,4.316641719901465613e-01,5.473043129787369399e-01,4.106906259447669072e-01,5.651695955925788439e-01
3.400000000000000244e-01,4.187859462850458958e-01,5.600187671369477593e-01,4.172188864295883759e-01,5.586725594668501271e-01,4.088730650057736393e-01,5.487342242535583337e-01,4.385171439993327258e-01,5.585955115278820049e-01,4.172714564913790891e-01,5.772063135107461385e-01
3.500000000000000333e-01,4.254050503632053615e-01,5.706075639885107575e-01,4.239190278494725517e-01,5.694933098344500122e-01,4.153613133997819395e-01,5.589409589357627883e-01,4.451764954841084809e-01,5.692926921771762627e-01,4.237580485741874181e-01,5.886213856539939115e-01
3.599999999999999867e-01,4.319366079290666294e-01,5.806164049216262502e-01,4.304861663001797178e-01,5.797559532943965532e-01,4.218042798595212917e-01,5.685794038795835004e-01,4.516713830732296819e-01,5.794220692490752445e-01,4.301594612469759604e-01,5.994422070064930885e-01
3.699999999999999956e-01,4.383796925755834573e-01,5.900678699688531870e-01,4.369214475950495280e-01,5.894789707317550365e-01,4.282010269458693674e-01,5.776759410144463036e-01,4.580359376138605776e-01,5.890099452427016713e-01,4.364841013564905170e-01,6.096952032101007335e-01
3.800000000000000044e-01,4.447371552841382636e-01,5.989840777103773162e-01,4.432352878681026787e-01,5.986808770015082937e-01,4.345459675031880242e-01,5.862560942093435479e-01,4.643050942822431471e-01,5.980834025353310990e-01,4.427389961842449484e-01,6.194063454131979451e-01
3.900000000000000133e-01,4.510159675046641614e-01,6.073874007619792792e-01,4.494446083179942097e-01,6.073816898981098111e-01,4.408299929735272071e-01,5.943446712083439998e-01,4.705105220734442928e-01,6.066706328923285874e-01,4.489282566377141848e-01,6.286019794843455966e-01
