r_A,g_NaCl,w_kcalmol
4.974999999999999645e+00,3.814662434656784118e+00,-8.178804824464305234e-01
5.025000000000000355e+00,3.778681002948003798e+00,-8.122654026617451839e-01
5.075000000000001066e+00,3.614737594669644505e+00,-7.859852947990187966e-01
5.125000000000000000e+00,3.410645443418873324e+00,-7.515514278305300833e-01
5.175000000000000711e+00,3.244681854720218972e+00,-7.219957632411242443e-01
5.224999999999999645e+00,3.031435209677500353e+00,-6.817179702305071753e-01
5.275000000000000355e+00,2.817351803113188780e+00,-6.383250827492747970e-01
5.325000000000001066e+00,2.617813551185002030e+00,-5.948023742374091150e-01
5.375000000000000000e+00,2.421734609525123538e+00,-5.486742354056138860e-01
5.425000000000000711e+00,2.243012552250394975e+00,-5.032518469505204983e-01
5.474999999999999645e+00,2.054765198351681921e+00,-4.513156459960695477e-01
5.525000000000000355e+00,1.912376363228891041e+00,-4.087663754583773512e-01
5.575000000000001066e+00,1.779984491145950587e+00,-3.662603315733624632e-01
5.625000000000000000e+00,1.668816675960585805e+00,-3.280510670591137989e-01
5.675000000000000711e+00,1.564929874339446414e+00,-2.899698205716967347e-01
5.724999999999999645e+00,1.510660445090141968e+00,-2.690586120927839220e-01
5.775000000000000355e+00,1.470198656801467774e+00,-2.529730002809681966e-01
5.825000000000001066e+00,1.433593399339620600e+00,-2.380344572211239018e-01
5.875000000000000000e+00,1.397270632396682366e+00,-2.228292958878224650e-01
5.925000000000000711e+00,1.373706223758353939e+00,-2.127520605662041320e-01
5.974999999999999645e+00,1.362005297194323283e+00,-2.076837888898233619e-01
6.025000000000000355e+00,1.336611242560816093e+00,-1.965328618335310806e-01
6.075000000000001066e+00,1.332963888797301655e+00,-1.949138750832394573e-01
6.125000000000000000e+00,1.318559189660438280e+00,-1.884763292106171328e-01
6.175000000000000711e+00,1.318987830489301682e+00,-1.886689045239335338e-01
6.224999999999999645e+00,1.331330394941794504e+00,-1.941873633200682514e-01
6.275000000000000355e+00,1.337712508706550896e+00,-1.970208233987384427e-01
6.325000000000001066e+00,1.336681976264676219e+00,-1.965642154099690730e-01
6.375000000000000000e+00,1.351499495692193076e+00,-2.030959511266794415e-01
6.425000000000000711e+00,1.357593893145990327e+00,-2.057616728672089501e-01
6.474999999999999645e+00,1.383384698085358799e+00,-2.169117880720621006e-01
6.525000000000000355e+00,1.376807195786271754e+00,-2.140880147009719958e-01
6.575000000000001066e+00,1.384829174294990972e+00,-2.175301148800590501e-01
6.625000000000000000e+00,1.393091306320485057e+00,-2.210544799260013848e-01
6.675000000000000711e+00,1.400361172097900564e+00,-2.241383308045761802e-01
6.724999999999999645e+00,1.403684182440186889e+00,-2.255426122131274635e-01
6.775000000000000355e+00,1.406096789295373517e+00,-2.265600819040637370e-01
6.825000000000001066e+00,1.407257317738846991e+00,-2.270488903472404341e-01
6.875000000000000000e+00,1.418468292548793919e+00,-2.317502443246209354e-01
6.925000000000000711e+00,1.396318491388705674e+00,-2.224254217538366440e-01
6.974999999999999645e+00,1.384738282723866121e+00,-2.174912265810713397e-01
7.025000000000000355e+00,1.369823421713057376e+00,-2.110750215514173855e-01
7.075000000000001066e+00,1.345116729353818208e+00,-2.002911769668982434e-01
7.125000000000000000e+00,1.339469057570352284e+00,-1.977983043470669389e-01
7.175000000000000711e+00,1.319588521841679407e+00,-1.889386716376493525e-01
7.224999999999999645e+00,1.304487019893158406e+00,-1.821191189633781238e-01
7.275000000000000355e+00,1.277835575049536265e+00,-1.698889356228137359e-01
7.325000000000001066e+00,1.253354060741171949e+00,-1.584276213609764616e-01
7.375000000000000000e+00,1.225475079871699569e+00,-1.450999002221098344e-01
7.425000000000000711e+00,1.196851638029882370e+00,-1.310970438668759841e-01
7.474999999999999645e+00,1.167336826446130127e+00,-1.163029704827512334e-01
7.525000000000000355e+00,1.150775153091020853e+00,-1.078368493733929123e-01
7.575000000000001066e+00,1.118606214544265010e+00,-9.103853822930521589e-02
7.625000000000000000e+00,1.098644736159481550e+00,-8.037019767961867123e-02
7.675000000000000711e+00,1.076398969655102622e+00,-6.825022016263709856e-02
7.724999999999999645e+00,1.060546205669960385e+00,-5.945945123090717876e-02
7.775000000000000355e+00,1.039175689680722270e+00,-4.739866800719792772e-02
7.825000000000001066e+00,1.036451306128717276e+00,-4.584332395629375084e-02
7.875000000000000000e+00,1.019856392905938991e+00,-3.628011606811482742e-02
7.925000000000000711e+00,1.020536662502452119e+00,-3.667518649767884803e-02
7.974999999999999645e+00,1.025056917039442350e+00,-3.929368017523937606e-02
8.025000000000000355e+00,1.021147496505508512e+00,-3.702970747869738927e-02
8.074999999999999289e+00,1.019439161770247182e+00,-3.603767631817542116e-02
8.125000000000000000e+00,1.016266485951719645e+00,-3.419088275369304430e-02
8.175000000000000711e+00,1.017295191643804220e+00,-3.479031639791724945e-02
8.225000000000001421e+00,1.017294256643366479e+00,-3.478977184221478808e-02
8.275000000000000355e+00,1.020341594828323428e+00,-3.656192677549084669e-02
8.324999999999999289e+00,1.015752433755311213e+00,-3.389111372204808154e-02
8.375000000000000000e+00,1.030582469548649405e+00,-4.247888312997501192e-02
8.425000000000000711e+00,1.029734976508236644e+00,-4.199145643694036922e-02
8.475000000000001421e+00,1.045312081148975780e+00,-5.088703560884433319e-02
8.525000000000000355e+00,1.044193873959623708e+00,-5.025289437647348367e-02
8.574999999999999289e+00,1.045129854662684155e+00,-5.078374028131400764e-02
8.625000000000000000e+00,1.047234378528563603e+00,-5.197559685963247522e-02
8.675000000000000711e+00,1.049828831069431700e+00,-5.344162300299346025e-02
8.725000000000001421e+00,1.052317729405201518e+00,-5.484460356045593732e-02
8.775000000000000355e+00,1.051073502573461882e+00,-5.414365388665195317e-02
8.824999999999999289e+00,1.045238552354448958e+00,-5.084535788052749194e-02
8.875000000000000000e+00,1.049382835803805536e+00,-5.318986614628586074e-02
8.925000000000000711e+00,1.042186823632701431e+00,-4.911298027999706772e-02
8.975000000000001421e+00,1.015773411127945280e+00,-3.390334962503673000e-02
9.025000000000000355e+00,1.004710948055551389e+00,-2.741539259715066595e-02
9.074999999999999289e+00,9.947532162766470343e-01,-2.151395697884307678e-02
9.125000000000000000e+00,9.917982394649298428e-01,-1.975132411660830006e-02
9.175000000000000711e+00,9.787835594806624240e-01,-1.192509378859270101e-02
9.225000000000001421e+00,9.656023603506324049e-01,-3.891934282288525560e-03
9.275000000000000355e+00,9.692953296465280921e-01,-6.153584829568705533e-03
9.324999999999999289e+00,9.540765282484655607e-01,3.222759334078600241e-03
9.375000000000000000e+00,9.432243637256768620e-01,1.000061284731731948e-02
9.425000000000000711e+00,9.292851723448892765e-01,1.882183681862490549e-02
9.475000000000001421e+00,9.119761625669126071e-01,2.996162331670167850e-02
9.525000000000000355e+00,9.029119746124638635e-01,3.587982737405321504e-02
9.575000000000001066e+00,9.046189709900591680e-01,3.476076505832619012e-02
9.625000000000000000e+00,9.020577788127778218e-01,3.644061034766502699e-02
9.675000000000000711e+00,8.885013083051030991e-01,4.541228588428938839e-02
9.725000000000001421e+00,8.869266026342145226e-01,4.646328837743697593e-02
9.775000000000000355e+00,8.857743181350984374e-01,4.723353817780392983e-02
9.825000000000001066e+00,8.898172304667016919e-01,4.453543042919592965e-02
9.875000000000000000e+00,8.947824743963824767e-01,4.123851219244750732e-02
9.925000000000000711e+00,8.824583941459229752e-01,4.945568596467131428e-02
9.975000000000001421e+00,8.784660506930370705e-01,5.214223765729437965e-02
1.002500000000000036e+01,8.827007911393853767e-01,4.929296232918593812e-02
1.007500000000000107e+01,8.835191726344712171e-01,4.874390419950826170e-02
1.012500000000000000e+01,8.911099031667883974e-01,4.367532876798413399e-02
1.017500000000000071e+01,8.957701746276409693e-01,4.058486200818015033e-02
1.022500000000000142e+01,8.938936256106494449e-01,4.182736059202457612e-02
1.027500000000000036e+01,8.871158224154936933e-01,4.633689921955855273e-02
1.032500000000000107e+01,8.918283791684291639e-01,4.319781789620666390e-02
1.037500000000000000e+01,8.979546728811669265e-01,3.914173891575536968e-02
1.042500000000000071e+01,8.986780585953241252e-01,3.866462956567794096e-02
1.047500000000000142e+01,8.935528805652317441e-01,4.205325411860645624e-02
1.052500000000000036e+01,8.987751842090109244e-01,3.860059957209274750e-02
1.057500000000000107e+01,9.087974253039903250e-01,3.203036570508532160e-02
1.062500000000000000e+01,9.100989255545531842e-01,3.118246760447166560e-02
1.067500000000000071e+01,9.097859995993607951e-01,3.138622104326322521e-02
1.072500000000000142e+01,9.193450202317375863e-01,2.519352417764916807e-02
1.077500000000000036e+01,9.210257589686113855e-01,2.411133724596408595e-02
1.082500000000000107e+01,9.255343163158691322e-01,2.121811161650308253e-02
1.087500000000000000e+01,9.173961230558194124e-01,2.645085169018303317e-02
1.092500000000000071e+01,9.227604377237121902e-01,2.299648859591438971e-02
1.097500000000000142e+01,9.300110976070536939e-01,1.835918889433323792e-02
1.102500000000000036e+01,9.304654341460435463e-01,1.806981405866745632e-02
1.107500000000000107e+01,9.379538186435181224e-01,1.332058177822228323e-02
1.112500000000000000e+01,9.417134678659572211e-01,1.095044064823591512e-02
1.117500000000000071e+01,9.356950897513508503e-01,1.474909211391649266e-02
1.122500000000000142e+01,9.347600711911673299e-01,1.534144464724547519e-02
1.127500000000000036e+01,9.333865632675597546e-01,1.621266411118472278e-02
1.132500000000000107e+01,9.338239516230454340e-01,1.593508855150286424e-02
1.137500000000000000e+01,9.316151360051538877e-01,1.733817968013403460e-02
1.142500000000000071e+01,9.227648952185644182e-01,2.299362653993997085e-02
1.147500000000000142e+01,9.189003165136980789e-01,2.548018911715359269e-02
1.152500000000000036e+01,9.181540151430060970e-01,2.596158186802880602e-02
1.157500000000000107e+01,9.176039093861069196e-01,2.631667156814137404e-02
1.162500000000000000e+01,9.182476452674296352e-01,2.590116541734029110e-02
1.167500000000000071e+01,9.206628438486005317e-01,2.434484222820570976e-02
1.172500000000000142e+01,9.130811369660529753e-01,2.924418750884214685e-02
1.177500000000000036e+01,9.171442336767003933e-01,2.661355255920110768e-02
1.182500000000000107e+01,9.089467480350142958e-01,3.193302366409220272e-02
1.187500000000000000e+01,9.101751118727995360e-01,3.113287150802709208e-02
1.192500000000000071e+01,9.107559586564345500e-01,3.075488579823053986e-02
1.197500000000000142e+01,9.063318634254685646e-01,3.363995803165362175e-02
1.202500000000000036e+01,9.101891796322068018e-01,3.112371407168462029e-02
1.207500000000000107e+01,9.135242689504726732e-01,2.895671544197302855e-02
1.212500000000000000e+01,9.145335923193818051e-01,2.830245943490679317e-02
1.217500000000000071e+01,9.117042601695335424e-01,3.013829688797303036e-02
1.222500000000000142e+01,9.039213593306132388e-01,3.521784571009853315e-02
1.227500000000000036e+01,9.060619322707222922e-01,3.381644300466657427e-02
1.232500000000000107e+01,9.148673223720700243e-01,2.808629028542682787e-02
1.237500000000000000e+01,9.185247485028859016e-01,2.572239587004024330e-02
1.242500000000000071e+01,9.218790042824334119e-01,2.356270878431084709e-02
1.247500000000000142e+01,9.229826622540167058e-01,2.285382011752270376e-02
1.252500000000000036e+01,9.266049513927879788e-01,2.053313592295437362e-02
1.257500000000000107e+01,9.351695780361267696e-01,1.508194116586792505e-02
1.262500000000000000e+01,9.381572216101914385e-01,1.319211050467096469e-02
1.267500000000000071e+01,9.433390820081364314e-01,9.928557120142338099e-03
1.272500000000000142e+01,9.457203234845320550e-01,8.434850392939230446e-03
1.277500000000000036e+01,9.512302674549735215e-01,4.992939135804376483e-03
1.282500000000000107e+01,9.475920482285085100e-01,7.263391282307567198e-03
1.287500000000000000e+01,9.675201229247584189e-01,-5.067489120815647091e-03
1.292500000000000071e+01,9.588956660950483935e-01,2.375905319815137251e-04
1.297500000000000142e+01,9.581314367935790388e-01,7.099827547186604582e-04
1.302500000000000036e+01,9.608081731878328480e-01,-9.429373493855981725e-04
1.307500000000000107e+01,9.574700817639436590e-01,1.119089640433449523e-03
1.312500000000000000e+01,9.569791214810645652e-01,1.422975020285863201e-03
1.317500000000000071e+01,9.517779336415094216e-01,4.651917004783612947e-03
1.322500000000000142e+01,9.565779490467839485e-01,1.671400967668844328e-03
1.327500000000000036e+01,9.578756496507038198e-01,8.681763463373702583e-04
1.332500000000000107e+01,9.591237518888034996e-01,9.667705777456278571e-05
1.337500000000000000e+01,9.625283844383626386e-01,-2.002761707868828261e-03
1.342500000000000071e+01,9.602729294598464360e-01,-6.127859198462905221e-04
1.347500000000000142e+01,9.598348164548236028e-01,-3.424101077756855349e-04
1.352500000000000036e+01,9.662495499515344477e-01,-4.288910965474922177e-03
1.357500000000000107e+01,9.680858128501099724e-01,-5.413802121377184889e-03
1.362500000000000000e+01,9.708946643477301963e-01,-7.130377702361096609e-03
1.367500000000000071e+01,9.628020695478937130e-01,-2.171204788556011650e-03
1.372500000000000142e+01,9.568074975251701364e-01,1.529240370898014845e-03
1.377500000000000036e+01,9.601663064927030700e-01,-5.469962846780564159e-04
1.382500000000000107e+01,9.556715358800412785e-01,2.233080979716098313e-03
1.387500000000000000e+01,9.574260516214230243e-01,1.146336230203447853e-03
1.392500000000000071e+01,9.573352141066231447e-01,1.202551965392491262e-03
1.397500000000000142e+01,9.640593558152898979e-01,-2.944403345920533488e-03
1.402500000000000036e+01,9.712505535241775512e-01,-7.347517970141020927e-03
1.407500000000000107e+01,9.603999940334307928e-01,-6.911791128460000044e-04
1.412500000000000000e+01,9.608795649404560102e-01,-9.869596270599412247e-04
1.417500000000000071e+01,9.666577045799122914e-01,-4.539130377908703190e-03
1.422500000000000142e+01,9.670194036064745369e-01,-4.760781877063798712e-03
1.427500000000000036e+01,9.666481290942458005e-01,-4.533261331644097836e-03
1.432500000000000107e+01,9.664033395398042847e-01,-4.383204162030047285e-03
1.437500000000000000e+01,9.678787921354221613e-01,-5.287088391083414468e-03
1.442500000000000071e+01,9.571088742029532082e-01,1.342647962117821808e-03
1.447500000000000142e+01,9.605492858873115880e-01,-7.832722988354336169e-04
1.452500000000000036e+01,9.636406128569451335e-01,-2.686999300948695463e-03
1.457500000000000107e+01,9.610314937401760460e-01,-1.080632557299961161e-03
1.462500000000000000e+01,9.659088568439210265e-01,-4.079967926436441766e-03
1.467500000000000071e+01,9.552179742925991368e-01,2.514340986106641113e-03
1.472500000000000142e+01,9.569658290138106649e-01,1.431204709610910120e-03
1.477500000000000036e+01,9.625781881785384630e-01,-2.033417635768388493e-03
1.482500000000000107e+01,9.628750733492270619e-01,-2.216127843585432439e-03
1.487500000000000000e+01,9.680037588089005496e-01,-5.363581531029015109e-03
1.492500000000000071e+01,9.677038727112645677e-01,-5.180002168297018206e-03
1.497500000000000142e+01,9.687911232742190126e-01,-5.845306868506674330e-03
1.502500000000000036e+01,9.658563942435310912e-01,-4.047786688408053918e-03
1.507500000000000107e+01,9.738246227377072017e-01,-8.915681561673712702e-03
1.512500000000000000e+01,9.713078327497086661e-01,-7.382458568682453287e-03
1.517500000000000071e+01,9.719956969881421438e-01,-7.801898133287087783e-03
1.522500000000000142e+01,9.708975357396534278e-01,-7.132129956143304361e-03
1.527500000000000036e+01,9.713831103794382527e-01,-7.428375145670091523e-03
1.532500000000000107e+01,9.722652537003212414e-01,-7.966185013890715594e-03
1.537500000000000000e+01,9.754661543177466365e-01,-9.913565427298078048e-03
1.542500000000000071e+01,9.759500676852573831e-01,-1.020741495767624879e-02
1.547500000000000142e+01,9.814326822953373108e-01,-1.352651529958786257e-02
1.552500000000000036e+01,9.816963382603005606e-01,-1.368566141578902648e-02
1.557500000000000107e+01,9.869845740082390240e-01,-1.686871394351768111e-02
1.562500000000000000e+01,9.773621304524603426e-01,-1.106403789523474276e-02
1.567500000000000071e+01,9.822054541750957490e-01,-1.399284938314505726e-02
1.572500000000000142e+01,9.880287286063483831e-01,-1.749518657738421967e-02
1.577500000000000036e+01,9.908041207907613002e-01,-1.915715519315307896e-02
1.582500000000000107e+01,9.871874655536160281e-01,-1.699049682310241338e-02
1.587500000000000000e+01,9.884762561250939328e-01,-1.776349179781277002e-02
1.592500000000000071e+01,9.944724887763624066e-01,-2.134672929191641991e-02
1.597500000000000142e+01,9.948522615923680590e-01,-2.157294641661941861e-02
1.602499999999999858e+01,9.943664124564843831e-01,-2.128352797575943159e-02
1.607500000000000284e+01,9.931726446435640288e-01,-2.057180410933313885e-02
1.612500000000000000e+01,9.911214299657126192e-01,-1.934687059098017664e-02
1.617500000000000071e+01,9.953239373842607263e-01,-2.185378666675122025e-02
1.622500000000000142e+01,9.920221161109895602e-01,-1.988504946425276310e-02
1.627499999999999858e+01,9.955301615854250663e-01,-2.197653270444701462e-02
1.632500000000000284e+01,9.951668250450320663e-01,-2.176025527145271365e-02
1.637500000000000000e+01,9.991772388204331889e-01,-2.414310671637081782e-02
1.642500000000000071e+01,9.975894706023986647e-01,-2.320085453282513810e-02
1.647500000000000142e+01,1.003551542187445467e+00,-2.673128825095231337e-02
1.652499999999999858e+01,1.001783829245179724e+00,-2.568673129923644549e-02
1.657500000000000284e+01,1.008224403032227601e+00,-2.948368668503384762e-02
1.662500000000000000e+01,1.009603096505967024e+00,-3.029332496734392366e-02
1.667500000000000071e+01,1.006898721720661083e+00,-2.870413503761403556e-02
1.672500000000000142e+01,1.009632857374780812e+00,-3.031078985590468164e-02
1.677499999999999858e+01,1.009293469363730988e+00,-3.011159261741344628e-02
1.682500000000000284e+01,1.012125162418797020e+00,-3.177155206813346566e-02
1.687500000000000000e+01,1.011829926264792956e+00,-3.159869945286230414e-02
1.692500000000000071e+01,1.007540901134509115e+00,-2.908188934299879916e-02
1.697500000000000142e+01,1.006828292018936866e+00,-2.866269095439372833e-02
1.702499999999999858e+01,1.015467738223543526e+00,-3.372502852085831893e-02
1.707500000000000284e+01,1.015166875654218259e+00,-3.354946120794724540e-02
1.712500000000000000e+01,1.015573503505575514e+00,-3.378673512885108088e-02
1.717500000000000071e+01,1.016760574080771029e+00,-3.447886688183759984e-02
1.722500000000000142e+01,1.019452487597808155e+00,-3.604542106679374525e-02
1.727499999999999858e+01,1.020490856637324084e+00,-3.664859275185183146e-02
1.732500000000000284e+01,1.017214706386112777e+00,-3.474343896554868416e-02
1.737500000000000000e+01,1.016690099076502207e+00,-3.443779839014038391e-02
1.742500000000000071e+01,1.014119341072284186e+00,-3.293776979195464638e-02
1.747500000000000142e+01,1.012076154604835354e+00,-3.174286283684592258e-02
1.752499999999999858e+01,1.016849003289512554e+00,-3.453039395146581536e-02
1.757500000000000284e+01,1.016242866889608409e+00,-3.417711264464909360e-02
1.762500000000000000e+01,1.016359714240411938e+00,-3.424523249449799855e-02
1.767500000000000071e+01,1.013682851186413991e+00,-3.268270184458148264e-02
1.772500000000000142e+01,1.015780310611950066e+00,-3.390737397355733651e-02
1.777499999999999858e+01,1.016234964561551379e+00,-3.417250545042015836e-02
1.782500000000000284e+01,1.016495802794566750e+00,-3.432455973952155959e-02
1.787500000000000000e+01,1.018033268380219791e+00,-3.522002526398739647e-02
1.792500000000000071e+01,1.014068156238425500e+00,-3.290786502098003163e-02
1.797500000000000142e+01,1.018794498999181286e+00,-3.566288810905738488e-02
1.802499999999999858e+01,1.016746909960413836e+00,-3.447090449656970562e-02
1.807500000000000284e+01,1.016360019251428159e+00,-3.424541030004512460e-02
1.812500000000000000e+01,1.014715884533518908e+00,-3.328618941730502462e-02
1.817500000000000071e+01,1.011944281655244415e+00,-3.166565735968730755e-02
1.822500000000000142e+01,1.018461729860421272e+00,-3.546933298362402870e-02
1.827499999999999858e+01,1.021404114344285574e+00,-3.717858224412129431e-02
1.832500000000000284e+01,1.020533358611102503e+00,-3.667326838049166093e-02
1.837500000000000000e+01,1.010615058360415430e+00,-3.088689667571027642e-02
1.842500000000000071e+01,1.013690820207288068e+00,-3.268735961894401326e-02
1.847500000000000142e+01,1.015943021668064494e+00,-3.400227256814276205e-02
1.852499999999999858e+01,1.019190711991256215e+00,-3.589326291024506205e-02
1.857500000000000284e+01,1.011181011687208864e+00,-3.121860056545729817e-02
1.862500000000000000e+01,1.012957981031257670e+00,-3.225887278259087498e-02
