lag_fs,running_eta_mean,running_eta_sem
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,2.187947800000000081e-02,3.347850558701810273e-04
1.000000000000000000e+00,4.195082800000000250e-02,6.338878983101040076e-04
1.500000000000000000e+00,5.861716999999999622e-02,8.667655882013310933e-04
2.000000000000000000e+00,7.067553200000001312e-02,1.012331041356530391e-03
2.500000000000000000e+00,7.744755000000000389e-02,1.061817218964733120e-03
3.000000000000000000e+00,7.884380800000000133e-02,1.019927474320599841e-03
3.500000000000000000e+00,7.535779200000000677e-02,9.044679388922532764e-04
4.000000000000000000e+00,6.799462400000000351e-02,7.450930377113998155e-04
4.500000000000000000e+00,5.814666999999999752e-02,5.820877434201821975e-04
5.000000000000000000e+00,4.743214599999999448e-02,4.631909382166282912e-04
5.500000000000000000e+00,3.751477599999999968e-02,4.224292555635791326e-04
6.000000000000000000e+00,2.992268399999999801e-02,4.445351919769684732e-04
6.500000000000000000e+00,2.588404800000000325e-02,4.948311543385277905e-04
7.000000000000000000e+00,2.619557800000000408e-02,5.721101910768590024e-04
7.500000000000000000e+00,3.113773400000000025e-02,7.009537366659806396e-04
8.000000000000000000e+00,4.044682200000000727e-02,8.937872874593828483e-04
8.500000000000000000e+00,5.334902799999999973e-02,1.134055336826206165e-03
9.000000000000000000e+00,6.865419999999999856e-02,1.388159204244959191e-03
9.500000000000000000e+00,8.489957600000000437e-02,1.619749142289013443e-03
1.000000000000000000e+01,1.005259200000000047e-01,1.797832271325664052e-03
1.050000000000000000e+01,1.140634640000000033e-01,1.901499760924518345e-03
1.100000000000000000e+01,1.243033659999999985e-01,1.922763494116215251e-03
1.150000000000000000e+01,1.304330740000000100e-01,1.867622447023487443e-03
1.200000000000000000e+01,1.321200180000000057e-01,1.755065215065809659e-03
1.250000000000000000e+01,1.295363780000000076e-01,1.613657027058103700e-03
1.300000000000000000e+01,1.233256820000000059e-01,1.475067044884399627e-03
1.350000000000000000e+01,1.145189399999999996e-01,1.364569949247748269e-03
1.400000000000000000e+01,1.044126080000000040e-01,1.292335433965966385e-03
1.450000000000000000e+01,9.442311999999999927e-02,1.253880714832952999e-03
1.500000000000000000e+01,8.593343600000000193e-02,1.242668806668132840e-03
1.550000000000000000e+01,8.014671599999999285e-02,1.264620400387403941e-03
1.600000000000000000e+01,7.796096399999999371e-02,1.340294912071966684e-03
1.650000000000000000e+01,7.987677800000000938e-02,1.489086457518165206e-03
1.700000000000000000e+01,8.594765399999999833e-02,1.708932246277189426e-03
1.750000000000000000e+01,9.577868400000000282e-02,1.972924070958129161e-03
1.800000000000000000e+01,1.085746700000000120e-01,2.241629941714287037e-03
1.850000000000000000e+01,1.232329599999999886e-01,2.475971347073709604e-03
1.900000000000000000e+01,1.384707020000000011e-01,2.645175735794128360e-03
1.950000000000000000e+01,1.529710980000000276e-01,2.731073807802343340e-03
2.000000000000000000e+01,1.655307480000000331e-01,2.730077175838441488e-03
2.050000000000000000e+01,1.751899279999999948e-01,2.652987445468601557e-03
2.100000000000000000e+01,1.813305019999999768e-01,2.522500169754997388e-03
2.150000000000000000e+01,1.837312160000000305e-01,2.368225854099645453e-03
2.200000000000000000e+01,1.825760399999999950e-01,2.219570626866826813e-03
2.250000000000000000e+01,1.784174399999999827e-01,2.098247107797364050e-03
2.300000000000000000e+01,1.721012900000000179e-01,2.014342804432750576e-03
2.350000000000000000e+01,1.646638480000000015e-01,1.969527636608332452e-03
2.400000000000000000e+01,1.572129780000000032e-01,1.965669091173282215e-03
2.450000000000000000e+01,1.508066100000000076e-01,2.011346123686819261e-03
2.500000000000000000e+01,1.463407300000000022e-01,2.119161248911933648e-03
2.550000000000000000e+01,1.444579699999999911e-01,2.294664725547068684e-03
