lag_ps,msd_mean,msd_sem
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.141237999999999931e-03,9.039196535090926896e-06
1.000000000000000021e-02,4.416755999999999981e-03,3.508822631595951005e-05
1.499999999999999944e-02,9.727253999999999415e-03,7.770475909492277058e-05
2.000000000000000042e-02,1.689126599999999853e-02,1.363492324364168394e-04
2.500000000000000139e-02,2.581103000000000217e-02,2.109890827033473397e-04
2.999999999999999889e-02,3.623347000000000373e-02,3.006757768261357293e-04
3.500000000000000333e-02,4.795276999999999873e-02,4.040648241309802418e-04
4.000000000000000083e-02,6.079324600000000217e-02,5.207822011225038666e-04
4.499999999999999833e-02,7.462328999999999490e-02,6.501854125939765180e-04
5.000000000000000278e-02,8.925189800000001006e-02,7.920425381467843676e-04
5.500000000000000028e-02,1.044700820000000058e-01,9.451327240202819909e-04
5.999999999999999778e-02,1.201472160000000011e-01,1.109383547311749334e-03
6.500000000000000222e-02,1.361733639999999912e-01,1.284356927690273511e-03
7.000000000000000666e-02,1.524262580000000089e-01,1.469681679580308719e-03
7.499999999999999722e-02,1.687639760000000100e-01,1.664139268266331918e-03
8.000000000000000167e-02,1.851276580000000005e-01,1.866955942092367229e-03
8.500000000000000611e-02,2.014938059999999975e-01,2.077742251078318336e-03
8.999999999999999667e-02,2.178203920000000016e-01,2.295775287549723515e-03
9.500000000000000111e-02,2.340521760000000007e-01,2.520088430421836816e-03
1.000000000000000056e-01,2.501846380000000147e-01,2.749705897306835029e-03
1.049999999999999961e-01,2.662522740000000110e-01,2.984339814308354603e-03
1.100000000000000006e-01,2.822615199999999880e-01,3.223381281756783259e-03
1.150000000000000050e-01,2.981999220000000062e-01,3.465931491435452882e-03
1.199999999999999956e-01,3.140878200000000176e-01,3.711251334893659725e-03
1.250000000000000000e-01,3.299723720000000138e-01,3.959116188927015896e-03
1.300000000000000044e-01,3.458756860000000155e-01,4.209464690847996432e-03
1.350000000000000089e-01,3.617884279999999952e-01,4.461748561437995676e-03
1.400000000000000133e-01,3.777246060000000183e-01,4.715711659811909137e-03
1.449999999999999900e-01,3.937154360000000297e-01,4.971423099146359513e-03
1.499999999999999944e-01,4.097712219999999905e-01,5.229213548440529019e-03
1.549999999999999989e-01,4.258704380000000178e-01,5.488976086311908587e-03
1.600000000000000033e-01,4.420058839999999600e-01,5.750672733523965602e-03
1.650000000000000078e-01,4.581891780000000303e-01,6.014680808248602274e-03
1.700000000000000122e-01,4.744140360000000389e-01,6.281466610668715554e-03
1.749999999999999889e-01,4.906503459999999595e-01,6.551229825532445782e-03
1.799999999999999933e-01,5.068766120000000042e-01,6.824015844493922824e-03
1.849999999999999978e-01,5.230929999999999191e-01,7.100311896521160036e-03
1.900000000000000022e-01,5.392880399999999685e-01,7.380589544598032369e-03
1.950000000000000067e-01,5.554318360000000121e-01,7.665041687845291184e-03
2.000000000000000111e-01,5.715025679999999886e-01,7.953630636182701732e-03
2.049999999999999878e-01,5.874981379999999476e-01,8.246630408340973467e-03
2.099999999999999922e-01,6.034123359999999936e-01,8.544354983169641718e-03
