# branch:    upstream-master
# exe:       /home/raid/crm98/cp2k_binaries/phy-cerberus/cp2k_master.psmp
# MPI ranks: 18
# OMP threads: 2
# steps:     100
# n_molecules,walltime_s
64,1.489
256,3.923
512,9.045
1024,21.196
2048,58.803
4096,310.612
