# branch:      feature-nnp-verlet-cells
# exe:         /local/data/public/crm98/cp2k_binaries/phy-cerberus/feature-nnp-verlet-cells/cp2k.psmp
# N_molecules: 64
# steps:       100
# mpi_ranks,omp_threads,total_cores,walltime_s,speedup
1,1,1,7.886,1.00
2,1,2,4.627,1.70
4,1,4,2.629,3.00
8,1,8,1.578,5.00
16,1,16,0.944,8.35
32,1,32,0.760,10.38
