# branch:      feature-nnp-verlet-cells
# exe:         /local/data/public/crm98/cp2k_binaries/phy-cerberus/feature-nnp-verlet-cells/cp2k.psmp
# N_molecules: 64
# steps:       100
# mpi_ranks,omp_threads,total_cores,walltime_s,speedup
1,1,1,7.908,1.00
2,1,2,4.536,1.74
4,1,4,2.699,2.93
8,1,8,1.570,5.04
16,1,16,1.077,7.34
32,1,32,0.837,9.45
