seg,nNa,nCl,frames,D_O_A2ps,D_Na_A2ps,D_Cl_A2ps,kNE_Sm,kOns_Sm,t_Na,sNaNa,sClCl,sNaCl
seg1,30,30,1601,1.494263e-01,6.658867e-02,1.100620e-01,6.3493,5.0593,0.5924,1.270006e+01,8.020239e+00,-2.308267e+00
seg2,30,30,1601,1.525251e-01,6.972088e-02,1.018852e-01,6.1680,4.3977,0.2084,9.890615e+00,2.273258e+01,5.299835e+00
seg3,30,30,1601,1.526103e-01,8.432225e-02,1.087566e-01,6.9397,4.9895,0.5476,1.570138e+01,1.332106e+01,2.017439e+00
seg4,30,30,1601,1.761237e-01,7.878955e-02,1.258203e-01,7.3542,8.1528,0.5826,1.980446e+01,1.305925e+01,-3.982703e+00
seg5,30,30,1601,1.434778e-01,7.329548e-02,1.176771e-01,6.8640,3.4227,0.4445,1.148149e+01,1.338566e+01,3.863144e+00
