seg,nNa,nCl,frames,D_O_A2ps,D_Na_A2ps,D_Cl_A2ps,kNE_Sm,kOns_Sm,t_Na,sNaNa,sClCl,sNaCl
seg1,30,30,801,1.629945e-01,7.475903e-02,1.059011e-01,6.4934,10.5186,0.1898,5.161670e+00,3.783950e+01,-4.837850e+00
seg2,30,30,801,1.526518e-01,6.717874e-02,1.037846e-01,6.1449,1.7457,0.1574,4.043075e+00,1.003366e+01,2.667083e+00
seg3,30,30,801,1.417412e-01,6.786718e-02,1.041807e-01,6.1838,1.7802,-0.8196,2.082840e+01,4.435687e+01,2.813505e+01
seg4,30,30,801,1.790117e-01,1.004301e-01,1.310666e-01,8.3206,10.1648,0.6164,1.749426e+01,5.641291e+00,-1.388480e+01
seg5,30,30,801,1.600142e-01,9.049771e-02,9.642090e-02,6.7183,1.0198,-0.7558,1.056728e+01,2.339547e+01,1.442769e+01
