seg,nNa,nCl,frames,D_O_A2ps,D_Na_A2ps,D_Cl_A2ps,kNE_Sm,kOns_Sm,t_Na,sNaNa,sClCl,sNaCl
seg1,58,58,801,1.385184e-01,7.056849e-02,9.849112e-02,11.7478,13.3792,0.4244,2.229698e+01,3.242139e+01,-6.142221e+00
seg2,58,58,801,1.296556e-01,6.424975e-02,7.741879e-02,9.8444,15.8962,0.4224,2.023337e+01,3.258793e+01,-1.339342e+01
seg3,58,58,801,1.295770e-01,7.497371e-02,9.286161e-02,11.6627,4.2743,0.4042,9.079858e+00,1.318051e+01,4.272480e-01
seg4,58,58,801,1.529587e-01,7.310484e-02,9.684866e-02,11.8099,3.2283,0.4817,6.718460e+00,7.308999e+00,-1.069995e+00
seg5,58,58,801,1.404960e-01,6.834506e-02,9.423702e-02,11.2977,10.2985,0.1969,2.129480e+01,5.255996e+01,1.113996e+01
