seg,nNa,nCl,frames,D_O_A2ps,D_Na_A2ps,D_Cl_A2ps,kNE_Sm,kOns_Sm,t_Na,sNaNa,sClCl,sNaCl
seg1,30,30,781,1.627194e-01,7.430645e-02,1.064405e-01,6.4965,10.4237,0.2050,5.529792e+00,3.632596e+01,-5.173038e+00
seg2,30,30,781,1.533012e-01,6.708221e-02,1.038487e-01,6.1437,1.5823,-0.0073,2.514636e+00,1.055434e+01,2.572480e+00
seg3,30,30,781,1.421662e-01,6.859866e-02,1.026212e-01,6.1541,1.6298,-0.8441,2.133725e+01,4.327825e+01,2.822668e+01
seg5,30,30,781,1.603962e-01,9.139633e-02,9.732533e-02,6.7831,0.9427,-0.8443,9.711926e+00,2.240381e+01,1.369747e+01
