seg,nNa,nCl,frames,D_O_A2ps,D_Na_A2ps,D_Cl_A2ps,kNE_Sm,kOns_Sm,t_Na,sNaNa,sClCl,sNaCl
seg1,30,30,1601,1.502721e-01,6.612328e-02,1.081937e-01,6.2654,4.4273,0.6519,1.282268e+01,6.088298e+00,-1.630421e+00
seg2,30,30,1601,1.523117e-01,7.221578e-02,1.045863e-01,6.3547,5.3459,0.2475,1.108991e+01,2.461050e+01,4.464178e+00
seg3,30,30,1601,1.513506e-01,8.375908e-02,1.075261e-01,6.8753,5.2709,0.5761,1.638256e+01,1.236348e+01,1.174736e+00
seg4,30,30,1601,1.759484e-01,8.029222e-02,1.232996e-01,7.3176,7.9113,0.6465,2.252191e+01,1.091236e+01,-3.092616e+00
seg5,30,30,1601,1.413916e-01,6.932944e-02,1.152666e-01,6.6349,3.7209,0.3951,1.073793e+01,1.464600e+01,3.374886e+00
