# Green-Kubo viscosity from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/feature-nnp-chebyshev/N1024/seg3/H2O-1024_feature-nnp-chebyshev_seg3-1.stress
# n_molecules: 1024
# volume_ang3: 30653.8318
# temperature_K: 300.0
# timestep_fs: 0.5
# discard_ps: 10.0
# int_limit_ps: 3.0
# n_frames_used: 180001
# eta_mPa_s: 0.800804
lag_fs,acf_normalized,running_eta_mPa_s
0.000,1.00000000,0.00000000
0.500,0.95801820,0.02218905
1.000,0.83701585,0.04253110
1.500,0.65113725,0.05939546
2.000,0.42181477,0.07155458
2.500,0.17497416,0.07831764
3.000,-0.06217216,0.07959595
3.500,-0.26427884,0.07589648
4.000,-0.41059448,0.06824854
4.500,-0.48701751,0.05807644
5.000,-0.48735860,0.04703442
5.500,-0.41377588,0.03682240
6.000,-0.27640059,0.02900104
6.500,-0.09220055,0.02482390
7.000,0.11684182,0.02510315
7.500,0.32611336,0.03012289
8.000,0.51112020,0.03961076
8.500,0.65032382,0.05277271
9.000,0.72771272,0.06838918
9.500,0.73474051,0.08496229
10.000,0.67132052,0.10089634
10.500,0.54570805,0.11468820
11.000,0.37329509,0.12510272
11.500,0.17453266,0.13131092
12.000,-0.02767093,0.13297522
12.500,-0.21068346,0.13027409
13.000,-0.35466097,0.12386738
13.500,-0.44457825,0.11481008
14.000,-0.47162414,0.10442730
14.500,-0.43389933,0.09416554
15.000,-0.33641803,0.08543600
15.500,-0.19045315,0.07946528
16.000,-0.01229095,0.07716770
16.500,0.17850936,0.07905136
17.000,0.36121357,0.08516771
17.500,0.51617744,0.09511066
18.000,0.62703651,0.10806603
18.500,0.68255075,0.12290680
19.000,0.67784984,0.13832341
19.500,0.61489536,0.15297332
20.000,0.50209205,0.16563147
20.500,0.35311606,0.17532303
21.000,0.18514916,0.18142287
21.500,0.01678475,0.18371127
22.000,-0.13410802,0.18238172
22.500,-0.25230608,0.17800271
23.000,-0.32674657,0.17144066
23.500,-0.35151297,0.16375434
24.000,-0.32624066,0.15607377
