# Green-Kubo viscosity from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/feature-nnp-chebyshev/N512/seg1/H2O-512_feature-nnp-chebyshev_seg1-1.stress
# n_molecules: 512
# volume_ang3: 15326.9159
# temperature_K: 300.0
# timestep_fs: 0.5
# discard_ps: 10.0
# int_limit_ps: 3.0
# n_frames_used: 180001
# eta_mPa_s: 0.671961
lag_fs,acf_normalized,running_eta_mPa_s
90.000,-0.03068170,0.21963088
90.500,-0.01840714,0.21905815
91.000,-0.00732277,0.21875796
91.500,0.00124242,0.21868702
92.000,0.00642408,0.21877647
92.500,0.00789302,0.21894350
93.000,0.00585591,0.21910391
93.500,0.00099206,0.21918381
94.000,-0.00566139,0.21912933
94.500,-0.01285986,0.21891324
95.000,-0.01931849,0.21853782
95.500,-0.02387651,0.21803386
96.000,-0.02563973,0.21745615
96.500,-0.02408461,0.21687601
97.000,-0.01911179,0.21637204
97.500,-0.01104356,0.21602021
98.000,-0.00056732,0.21588475
98.500,0.01136499,0.21601072
99.000,0.02366581,0.21641943
99.500,0.03524963,0.21710680
100.000,0.04516050,0.21804495
100.500,0.05267329,0.21918639
101.000,0.05735815,0.22047013
101.500,0.05910420,0.22182890
102.000,0.05810398,0.22319638
102.500,0.05480464,0.22451369
103.000,0.04983449,0.22573453
103.500,0.04391475,0.22682831
104.000,0.03776678,0.22778129
104.500,0.03202510,0.22859556
105.000,0.02716601,0.22928614
105.500,0.02346024,0.22987680
106.000,0.02095565,0.23039501
106.500,0.01949207,0.23086691
107.000,0.01874570,0.23131304
107.500,0.01829604,0.23174521
108.000,0.01770456,0.23216523
108.500,0.01659239,0.23256537
109.000,0.01470497,0.23293052
109.500,0.01195419,0.23324155
110.000,0.00843253,0.23347941
110.500,0.00439885,0.23362911
111.000,0.00023933,0.23368323
111.500,-0.00358885,0.23364415
112.000,-0.00662242,0.23352501
112.500,-0.00845574,0.23334909
113.000,-0.00879539,0.23314782
113.500,-0.00749870,0.23295772
114.000,-0.00459233,0.23281665
114.500,-0.00026889,0.23275994
115.000,0.00513748,0.23281674
115.500,0.01119328,0.23300727
116.000,0.01742028,0.23334111
116.500,0.02335536,0.23381684
117.000,0.02860779,0.23442310
117.500,0.03290608,0.23514078
118.000,0.03612796,0.23594621
118.500,0.03830929,0.23681467
119.000,0.03963067,0.23772400
119.500,0.04038359,0.23865754
120.000,0.04092114,0.23960613
120.500,0.04160028,0.24056891
121.000,0.04272390,0.24155272
121.500,0.04449117,0.24257027
122.000,0.04696289,0.24363727
