# branch:      feature-nnp-native-spline
# exe:         /local/data/public/crm98/cp2k_binaries/phy-cerberus/feature-nnp-native-spline/cp2k.psmp
# N_molecules: 64
# steps:       100
# mpi_ranks,omp_threads,total_cores,walltime_s,speedup
1,1,1,8.339,1.00
2,1,2,4.893,1.70
4,1,4,2.739,3.04
8,1,8,1.756,4.75
16,1,16,1.008,8.27
32,1,32,0.816,10.22
