# branch:    upstream-master
# exe:       /home/raid/crm98/cp2k_binaries/phy-cerberus/cp2k_master.psmp
# MPI ranks: 18
# OMP threads: 2
# steps:     100
# n_molecules,walltime_s
64,1.474
256,3.864
512,8.644
1024,20.644
2048,60.926
4096,313.993
