# branch:      upstream-master
# exe:         /home/raid/crm98/cp2k_binaries/phy-cerberus/cp2k_master.psmp
# N_molecules: 64
# steps:       100
# mpi_ranks,omp_threads,total_cores,walltime_s,speedup
1,1,1,12.341,1.00
2,1,2,6.915,1.78
4,1,4,3.976,3.10
8,1,8,2.366,5.22
16,1,16,1.458,8.46
32,1,32,1.025,12.04
