# branch:      feature-nnp-native-spline
# exe:         /local/data/public/crm98/cp2k_binaries/phy-cerberus/feature-nnp-native-spline/cp2k.psmp
# N_molecules: 64
# steps:       100
# mpi_ranks,omp_threads,total_cores,walltime_s,speedup
1,1,1,8.301,1.00
2,1,2,4.754,1.75
4,1,4,2.740,3.03
8,1,8,1.565,5.30
16,1,16,0.992,8.37
32,1,32,0.871,9.53
