branch,a,a_err,b,b_err,n_points
upstream master,4.602766204789789e-08,6.874396208780098e-08,1.9088494428028404,0.17272025660986287,6
native-spline,0.0037317214876413534,0.0018305201495029074,0.42092607548144256,0.05532167704241775,6
native-spline-omp,4.86614649180154e-05,2.8655410144551957e-05,0.9289687072652607,0.06407292946012925,6
