Function name;Address in the binary;Source file;Source lines;ID;Can be analyzed;Nb paths;Unroll info (src loop);Unroll confidence level (src loop);Is main/unrolled;Unroll factor;Path ID;Repetition factor;Nb instr.;Nb uops;Size (bytes);Nb used x86 reg.;Nb used MMX reg.;Nb used XMM reg.;Nb used YMM reg.;Nb stack ref.;Pattern;Nb insn: SS;Nb insn: SD;Nb insn: PS-XMM;Nb insn: PS-YMM;Nb insn: PS-ZMM;Nb insn: PD-XMM;Nb insn: PD-YMM;Nb insn: PD-ZMM;Ratio ADD-SUB / MUL;Fit in cache;Macro-fusion;Nb FLOP: add-sub;Nb FLOP: mul;Nb FLOP: fma;Nb FLOP: div;Nb FLOP: sqrt;Nb FLOP: rcp;Nb FLOP: rsqrt;Bytes prefetched;Bytes loaded;Bytes stored;Arith. intensity (FLOP / ld+st bytes);Arith. intensity extra info;instr. fetch (cycles);predecode (cycles);instr. queue (cycles);decode (cycles);uop queue (cycles);ROB-read (cycles);Front-end (cycles);Nb uops P0;Nb uops P1;Nb uops P2;Nb uops P3;Nb uops P4;Nb uops P5;Nb uops P6;Nb uops P7;Nb uops P8;Nb uops P9;Nb cycles P0;Nb cycles P1;Nb cycles P2;Nb cycles P3;Nb cycles P4;Nb cycles P5;Nb cycles P6;Nb cycles P7;Nb cycles P8;Nb cycles P9;Dispatch (cycles);RecMII (cycles): min;RecMII (cycles): max;Vec. ratio (%): all (INT);Vec. ratio (%): load (INT);Vec. ratio (%): store (INT);Vec. ratio (%): add-sub (INT);Vec. ratio (%): mul (INT);Vec. ratio (%): fma (INT);Vec. ratio (%): other (INT);Vec. ratio (%): all (FP);Vec. ratio (%): load (FP);Vec. ratio (%): store (FP);Vec. ratio (%): add-sub (FP);Vec. ratio (%): mul (FP);Vec. ratio (%): fma (FP);Vec. ratio (%): div/sqrt (FP);Vec. ratio (%): other (FP);Vec. ratio (%): all;Vec. ratio (%): load;Vec. ratio (%): store;Vec. ratio (%): add-sub;Vec. ratio (%): mul;Vec. ratio (%): fma;Vec. ratio (%): div/sqrt;Vec. ratio (%): other;Vec. eff. ratio (%): all (INT);Vec. eff. ratio (%): load (INT);Vec. eff. ratio (%): store (INT);Vec. eff. ratio (%): add-sub (INT);Vec. eff. ratio (%): mul (INT);Vec. eff. ratio (%): fma (INT);Vec. eff. ratio (%): other (INT);Vec. eff. ratio (%): all (FP);Vec. eff. ratio (%): load (FP);Vec. eff. ratio (%): store (FP);Vec. eff. ratio (%): add-sub (FP);Vec. eff. ratio (%): mul (FP);Vec. eff. ratio (%): fma (FP);Vec. eff. ratio (%): div/sqrt (FP);Vec. eff. ratio (%): other (FP);Vec. eff. ratio (%): all;Vec. eff. ratio (%): load;Vec. eff. ratio (%): store;Vec. eff. ratio (%): add-sub;Vec. eff. ratio (%): mul;Vec. eff. ratio (%): fma;Vec. eff. ratio (%): div/sqrt;Vec. eff. ratio (%): other;[L1] Nb cycles: min;[L1] Nb cycles: max;[L1] FLOP/cycle: min;[L1] FLOP/cycle: max;[L1] IPC: min;[L1] IPC: max;[L1] Bytes prefetched / cycle: min;[L1] Bytes prefetched / cycle: max;[L1] Bytes loaded / cycle: min;[L1] Bytes loaded / cycle: max;[L1] Bytes stored / cycle: min;[L1] Bytes stored / cycle: max;[L1] Bytes ld+st / cycle: min;[L1] Bytes ld+st / cycle: max;[L1] Nb cycles if fully vectorized: min;[L1] Nb cycles if fully vectorized: max;[L1] Nb cycles if nomem vectorized: min;[L1] Nb cycles if nomem vectorized: max;[L1] Nb cycles if FP arith vectorized: min;[L1] Nb cycles if FP arith vectorized: max;[L1] Nb cycles if clean: min;[L1] Nb cycles if clean: max;[L1] Nb cycles if only FP: min;[L1] Nb cycles if only FP: max;[L1] Nb cycles if only FP arith: min;[L1] Nb cycles if only FP arith: max;
nnp_force_mp_nnp_calc_energy_force_;625bbb;/home/crm98/cp2k_master/build/src/nnp_force.F;212-212;2986;true;1;multi-versionned;NA;NA;NA;1;1;6;5;24;4;0;0;2;0;PD-YMM,x86;0;0;0;0;0;0;3;0;NA;Yes (uop cache);true;4;0;0;0;0;0;0;0;64;32;0.041666666666667;NA;NA;NA;NA;NA;1.2;NA;1.2;1;0.75;1;1;0.5;0.75;0.5;0.5;0.5;0.5;1;0.75;1;1;0.5;0.75;0.5;0.5;0.5;0.5;1;1;1;NA;NA;NA;NA;NA;NA;NA;100;100;100;100;NA;NA;NA;NA;100;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;50;50;50;NA;NA;NA;NA;50;50;50;50;NA;NA;NA;NA;1.2;1.2;3.3333333333333;3.3333333333333;5;5;0;0;53.333333333333;53.333333333333;26.666666666667;26.666666666667;80;80;0.6;0.6;1;1;1;1;1.2;1.2;1.2;1.2;1;1;
nnp_force_mp_nnp_calc_energy_force_;625c10;/home/crm98/cp2k_master/build/src/nnp_force.F;212-212;2985;true;1;multi-versionned;NA;NA;NA;1;1;6;5;23;4;0;2;0;0;SD,x86;0;3;0;0;0;0;0;0;NA;Yes (uop cache);true;1;0;0;0;0;0;0;0;16;8;0.041666666666667;NA;NA;NA;NA;NA;1.2;NA;1.2;1;0.75;1;1;0.5;0.75;0.5;0.5;0.5;0.5;1;0.75;1;1;0.5;0.75;0.5;0.5;0.5;0.5;1;1;1;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.5;12.5;12.5;12.5;NA;NA;NA;NA;12.5;12.5;12.5;12.5;NA;NA;NA;NA;1.2;1.2;0.83333333333333;0.83333333333333;5;5;0;0;13.333333333333;13.333333333333;6.6666666666667;6.6666666666667;20;20;0.15;0.15;1;1;1;1;1.2;1.2;1.2;1.2;1;1;
nnp_force_mp_nnp_calc_energy_force_;625cc5;/home/crm98/cp2k_master/build/src/nnp_force.F;212-212;2982;true;1;multi-versionned;NA;NA;NA;1;1;38;37;181;9;0;3;0;0;SD,x86;0;6;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;2;0;0;0;0;112;16;0.015625;NA;NA;NA;NA;NA;7.4;NA;7.4;5.75;5.75;7;7;1;5.75;5.75;1;1;1;5.75;7.25;7;7;1;5.75;5.75;1;1;1;7.25;1;1;0;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;0;NA;0;0;0;NA;NA;NA;0;0;12.5;NA;NA;NA;NA;NA;12.5;12.5;12.5;12.5;NA;NA;NA;12.5;NA;12.5;12.5;12.5;NA;NA;NA;12.5;12.5;8;8;0.25;0.25;4.75;4.75;0;0;14;14;2;2;16;16;4;4;4;4;4;4;8;8;8;8;8;8;
nnp_force_mp_nnp_calc_energy_force_;6262f4;/home/crm98/cp2k_master/build/src/nnp_force.F;213-214;2980;true;1;multi-versionned;NA;NA;NA;1;1;38;37;185;11;0;0;0;0;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;144;24;0;NA;NA;NA;NA;NA;7.4;NA;7.4;4.75;4.75;9;9;1.5;4.75;4.75;1.5;1.5;1.5;4.75;6;9;9;1.5;4.75;4.75;1.5;1.5;1.5;9;1;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;12.5;12.5;12.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.5;12.5;12.5;NA;NA;NA;NA;NA;9;9;0;0;4.2222222222222;4.2222222222222;0;0;16;16;2.6666666666667;2.6666666666667;18.666666666667;18.666666666667;1.125;1.125;9;9;9;9;9;9;1;1;1;1;
nnp_force_mp_nnp_calc_energy_force_;626a80;/home/crm98/cp2k_master/build/src/nnp_force.F;220-220;2979;true;1;multi-versionned;NA;NA;NA;1;1;11;14;44;9;0;0;0;1;x86;0;0;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;8;0;0;NA;NA;NA;NA;NA;2.8;NA;2.8;1.75;1.75;0.5;0.5;0.5;1.75;1.75;0.5;0.5;0.5;1.75;1.75;0.5;0.5;0.5;1.75;1.75;0.5;0.5;0.5;1.75;1;1;16.666666666667;0;NA;0;NA;NA;25;NA;NA;NA;NA;NA;NA;NA;NA;16.666666666667;0;NA;0;NA;NA;NA;25;13.541666666667;12.5;NA;12.5;NA;NA;14.0625;NA;NA;NA;NA;NA;NA;NA;NA;13.541666666667;12.5;NA;12.5;NA;NA;NA;14.0625;2.8;2.8;0;0;3.9285714285714;3.9285714285714;0;0;2.8571428571429;2.8571428571429;0;0;2.8571428571429;2.8571428571429;0.27045454545455;0.27045454545455;0.79545454545455;0.79545454545455;2.8;2.8;2.8;2.8;1;1;1;1;
nnp_force_mp_nnp_calc_energy_force_;626ad1;/home/crm98/cp2k_master/build/src/nnp_force.F;220-220;2978;true;1;multi-versionned;NA;NA;NA;1;1;6;5;24;3;0;0;1;0;PD-YMM,x86;0;0;0;0;0;0;2;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;0;64;0;NA;NA;NA;NA;NA;1;NA;1;0.75;0.75;0;0;1;0.75;0.75;1;1;1;0.75;0.75;0;0;1;0.75;0.75;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;100;NA;100;NA;NA;NA;NA;NA;100;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;NA;50;NA;NA;NA;NA;NA;50;NA;50;NA;NA;NA;NA;NA;1;1;0;0;6;6;0;0;0;0;64;64;64;64;1;1;1;1;1;1;1;1;1;1;1;1;
nnp_force_mp_nnp_calc_energy_force_;626aee;/home/crm98/cp2k_master/build/src/nnp_force.F;220-220;2977;true;1;multi-versionned;NA;NA;NA;1;1;4;3;15;3;0;1;0;0;SD,x86;0;1;0;0;0;0;0;0;NA;Yes (uop cache);true;0;0;0;0;0;0;0;0;0;8;0;NA;NA;NA;NA;NA;0.6;NA;0.6;0.5;0.5;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;1;1;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.5;NA;12.5;NA;NA;NA;NA;NA;12.5;NA;12.5;NA;NA;NA;NA;NA;1;1;0;0;4;4;0;0;0;0;8;8;8;8;0.125;0.125;1;1;1;1;1;1;1;1;1;1;
nnp_force_mp_nnp_calc_energy_force_;626c51;/home/crm98/cp2k_master/build/src/nnp_force.F;220-220;2975;true;1;multi-versionned;NA;NA;NA;1;1;6;5;25;4;0;2;0;0;SD,x86;0;3;0;0;0;0;0;0;NA;Yes (uop cache);true;1;0;0;0;0;0;0;0;16;8;0.041666666666667;NA;NA;NA;NA;NA;1.2;NA;1.2;1;0.75;1;1;0.5;0.75;0.5;0.5;0.5;0.5;1;0.75;1;1;0.5;0.75;0.5;0.5;0.5;0.5;1;1;1;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.5;12.5;12.5;12.5;NA;NA;NA;NA;12.5;12.5;12.5;12.5;NA;NA;NA;NA;1.2;1.2;0.83333333333333;0.83333333333333;5;5;0;0;13.333333333333;13.333333333333;6.6666666666667;6.6666666666667;20;20;0.15;0.15;1;1;1;1;1.2;1.2;1.2;1.2;1;1;
nnp_force_mp_nnp_calc_energy_force_;626c80;/home/crm98/cp2k_master/build/src/nnp_force.F;220-220;2974;true;1;multi-versionned;NA;NA;NA;1;1;16;15;77;5;0;0;8;0;PD-YMM,x86;0;0;0;0;0;0;12;0;NA;Yes (uop cache);true;16;0;0;0;0;0;0;0;256;128;0.041666666666667;NA;NA;NA;NA;NA;3.8;NA;3.8;2;2;4;4;2;1.5;1.5;2;2;2;2;2;4;4;2;1.5;1.5;2;2;2;4;1;1;NA;NA;NA;NA;NA;NA;NA;100;100;100;100;NA;NA;NA;NA;100;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;50;50;50;NA;NA;NA;NA;50;50;50;50;NA;NA;NA;NA;4;4;4;4;4;4;0;0;64;64;32;32;96;96;2;2;4;4;4;4;4;4;4;4;2;2;
nnp_force_mp_nnp_calc_energy_force_;626d31;/home/crm98/cp2k_master/build/src/nnp_force.F;220-220;2973;true;1;multi-versionned;NA;NA;NA;1;1;6;5;24;4;0;0;2;0;PD-YMM,x86;0;0;0;0;0;0;3;0;NA;Yes (uop cache);true;4;0;0;0;0;0;0;0;64;32;0.041666666666667;NA;NA;NA;NA;NA;1.2;NA;1.2;1;0.75;1;1;0.5;0.75;0.5;0.5;0.5;0.5;1;0.75;1;1;0.5;0.75;0.5;0.5;0.5;0.5;1;1;1;NA;NA;NA;NA;NA;NA;NA;100;100;100;100;NA;NA;NA;NA;100;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;50;50;50;NA;NA;NA;NA;50;50;50;50;NA;NA;NA;NA;1.2;1.2;3.3333333333333;3.3333333333333;5;5;0;0;53.333333333333;53.333333333333;26.666666666667;26.666666666667;80;80;0.6;0.6;1;1;1;1;1.2;1.2;1.2;1.2;1;1;
