# Green-Kubo viscosity from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/master/N64/seg1/H2O-64_master_seg1-1.stress
# n_molecules: 64
# volume_ang3: 1915.8645
# temperature_K: 300.0
# timestep_fs: 0.5
# discard_ps: 10.0
# int_limit_ps: 3.0
# n_frames_used: 180001
# eta_mPa_s: 0.563741
lag_fs,acf_normalized,running_eta_mPa_s
0.000,1.00000000,0.00000000
0.500,0.95782141,0.02237689
1.000,0.83626664,0.04288240
1.500,0.64959269,0.05986501
2.000,0.41938979,0.07208293
2.500,0.17175232,0.07883938
3.000,-0.06596104,0.08004852
3.500,-0.26830549,0.07622803
4.000,-0.41448981,0.06842403
4.500,-0.49043363,0.05808122
5.000,-0.49002303,0.04687510
5.500,-0.41553341,0.03652505
6.000,-0.27724021,0.02860701
6.500,-0.09226584,0.02438374
7.000,0.11726005,0.02466941
7.500,0.32660334,0.02974254
8.000,0.51119487,0.03931815
8.500,0.64948388,0.05258411
9.000,0.72552157,0.06829972
9.500,0.73090044,0.08494587
10.000,0.66573601,0.10090871
10.500,0.53852174,0.11467276
11.000,0.36488582,0.12499824
11.500,0.16547342,0.13105998
12.000,-0.03668823,0.13253193
12.500,-0.21894229,0.12961020
13.000,-0.36151707,0.12297585
13.500,-0.44954402,0.11370584
14.000,-0.47443010,0.10314529
14.500,-0.43452743,0.09275637
15.000,-0.33510610,0.08395985
15.500,-0.18767263,0.07798476
16.000,-0.00870138,0.07574030
16.500,0.18212508,0.07772245
17.000,0.36402898,0.08396471
17.500,0.51741195,0.09403913
18.000,0.62604702,0.10710828
18.500,0.67891550,0.12202333
19.000,0.67143258,0.13745711
19.500,0.60587813,0.15205612
20.000,0.49096771,0.16459250
20.500,0.34063825,0.17409733
21.000,0.17224494,0.17995932
21.500,0.00444263,0.18197877
22.000,-0.14495773,0.18037276
22.500,-0.26090105,0.17573400
23.000,-0.33257792,0.16895084
23.500,-0.35437713,0.16109930
24.000,-0.32625409,0.15332003
24.500,-0.25352278,0.14669348
25.000,-0.14612023,0.14212576
25.500,-0.01742671,0.14025651
26.000,0.11724330,0.14139736
26.500,0.24233269,0.14550713
27.000,0.34374280,0.15220567
27.500,0.41035759,0.16082465
28.000,0.43521451,0.17048910
28.500,0.41618266,0.18022014
29.000,0.35607187,0.18904661
29.500,0.26217274,0.19611283
30.000,0.14530396,0.20077008
30.500,0.01850321,0.20264231
31.000,-0.10446713,0.20165979
31.500,-0.21062188,0.19805848
32.000,-0.28910197,0.19234689
