# Green-Kubo viscosity from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/feature-nnp-native-spline/N64/seg1/H2O-64_feature-nnp-native-spline_seg1-1.stress
# n_molecules: 64
# volume_ang3: 1915.8645
# temperature_K: 300.0
# timestep_fs: 0.5
# discard_ps: 10.0
# int_limit_ps: 3.0
# n_frames_used: 180001
# eta_mPa_s: 0.761813
lag_fs,acf_normalized,running_eta_mPa_s
90.000,-0.01352894,0.22802405
90.500,-0.00751244,0.22778232
91.000,-0.00341743,0.22765676
91.500,-0.00181646,0.22759663
92.000,-0.00283942,0.22754314
92.500,-0.00617860,0.22743954
93.000,-0.01115291,0.22724043
93.500,-0.01681890,0.22691908
94.000,-0.02211144,0.22647184
94.500,-0.02599445,0.22591919
95.000,-0.02760184,0.22530346
95.500,-0.02635181,0.22468362
96.000,-0.02202130,0.22412790
96.500,-0.01477268,0.22370520
97.000,-0.00513045,0.22347654
97.500,0.00608822,0.22348755
98.000,0.01787973,0.22376290
98.500,0.02918258,0.22430356
99.000,0.03901080,0.22508699
99.500,0.04657384,0.22607021
100.000,0.05136720,0.22719538
100.500,0.05322233,0.22839694
101.000,0.05231121,0.22960934
101.500,0.04910722,0.23077446
102.000,0.04430988,0.23184767
102.500,0.03874469,0.23280182
103.000,0.03325144,0.23362893
103.500,0.02857490,0.23433921
104.000,0.02527070,0.23495781
104.500,0.02363738,0.23551968
105.000,0.02368285,0.23606330
105.500,0.02512933,0.23662407
106.000,0.02745710,0.23722820
106.500,0.02998194,0.23788808
107.000,0.03195682,0.23859965
107.500,0.03268403,0.23934226
108.000,0.03162186,0.24008102
108.500,0.02847002,0.24077138
109.000,0.02322114,0.24136522
109.500,0.01617105,0.24181777
110.000,0.00788707,0.24209416
110.500,-0.00086002,0.24217488
111.000,-0.00919016,0.24205943
111.500,-0.01622119,0.24176749
112.000,-0.02117549,0.24133787
112.500,-0.02347360,0.24082493
113.000,-0.02280424,0.24029327
113.500,-0.01916327,0.23981114
114.000,-0.01285700,0.23944328
114.500,-0.00446897,0.23924424
115.000,0.00520664,0.23925271
115.500,0.01525807,0.23948781
116.000,0.02476476,0.23994761
116.500,0.03290826,0.24061017
117.000,0.03907040,0.24143708
117.500,0.04290508,0.24237884
118.000,0.04437316,0.24338152
118.500,0.04373620,0.24439375
119.000,0.04151056,0.24537308
119.500,0.03838987,0.24629100
120.000,0.03514742,0.24713582
120.500,0.03253224,0.24791335
121.000,0.03117191,0.24864520
121.500,0.03149345,0.24936511
122.000,0.03367040,0.25011374
122.500,0.03760115,0.25093252
123.000,0.04292002,0.25185757
123.500,0.04903963,0.25291403
124.000,0.05522002,0.25411180
124.500,0.06065736,0.25544303
125.000,0.06458245,0.25688182
125.500,0.06635787,0.25838610
126.000,0.06556151,0.25990163
126.500,0.06204516,0.26136761
127.000,0.05595972,0.26272329
127.500,0.04774283,0.26391465
128.000,0.03807057,0.26490050
128.500,0.02778001,0.26565701
129.000,0.01777357,0.26618034
129.500,0.00891800,0.26648699
130.000,0.00195057,0.26661185
130.500,-0.00259673,0.26660442
131.000,-0.00444763,0.26652350
131.500,-0.00360247,0.26643101
132.000,-0.00032889,0.26638585
132.500,0.00487535,0.26643808
133.000,0.01134311,0.26662440
133.500,0.01831557,0.26696513
134.000,0.02502919,0.26746309
134.500,0.03080273,0.26810450
135.000,0.03511471,0.26886178
135.500,0.03766175,0.26969786
136.000,0.03838989,0.27057156
136.500,0.03749410,0.27144334
137.000,0.03538588,0.27228060
137.500,0.03263317,0.27306203
138.000,0.02988167,0.27378021
138.500,0.02776866,0.27444252
139.000,0.02684104,0.27506989
139.500,0.02748783,0.27569404
140.000,0.02989432,0.27635326
140.500,0.03402164,0.27708754
141.000,0.03961207,0.27793347
141.500,0.04621814,0.27891951
142.000,0.05325117,0.28006224
142.500,0.06004430,0.28136381
143.000,0.06592380,0.28281097
143.500,0.07028204,0.28437574
144.000,0.07264476,0.28601773
144.500,0.07272524,0.28768778
145.000,0.07045840,0.28933272
145.500,0.06600964,0.29090050
146.000,0.05975627,0.29234534
146.500,0.05224360,0.29363202
147.000,0.04412144,0.29473909
147.500,0.03607017,0.29566036
148.000,0.02872651,0.29640476
148.500,0.02261860,0.29699463
149.000,0.01811770,0.29746262
149.500,0.01541033,0.29784780
150.000,0.01449193,0.29819132
150.500,0.01518040,0.29853221
151.000,0.01714625,0.29890359
151.500,0.01995557,0.29932982
152.000,0.02312160,0.29982471
152.500,0.02616043,0.30039087
153.000,0.02864599,0.30102050
153.500,0.03025882,0.30169722
154.000,0.03082288,0.30239894
154.500,0.03032508,0.30310143
155.000,0.02891408,0.30378199
155.500,0.02687764,0.30442294
156.000,0.02460165,0.30501435
156.500,0.02251681,0.30555566
157.000,0.02104123,0.30605606
157.500,0.02052708,0.30653361
158.000,0.02121820,0.30701319
158.500,0.02322292,0.30752375
159.000,0.02650354,0.30809502
159.500,0.03088195,0.30875428
160.000,0.03605909,0.30952332
160.500,0.04164561,0.31041601
161.000,0.04720065,0.31143670
161.500,0.05227564,0.31257952
