# branch:      tag-version-2026.1
# exe:         /local/data/public/crm98/cp2k_binaries/phy-cerberus/master/cp2k.psmp
# N_molecules: 64
# steps:       100
# mpi_ranks,omp_threads,total_cores,walltime_s,speedup
1,1,1,12.442,1.00
2,1,2,7.019,1.77
4,1,4,3.991,3.12
8,1,8,2.173,5.73
16,1,16,1.328,9.37
32,1,32,1.082,11.50
