# branch:      feature-nnp-verlet-cells
# exe:         /home/raid/crm98/cp2k_binaries/phy-cerberus/cp2k_feature_verlet_cells.psmp
# N_molecules: 64
# steps:       100
# mpi_ranks,omp_threads,total_cores,walltime_s,speedup
1,1,1,9.366,1.00
2,1,2,6.209,1.51
4,1,4,4.579,2.05
8,1,8,3.263,2.87
16,1,16,3.006,3.12
32,1,32,2.294,4.08
