# branch:      feature-nnp-verlet-cells
# exe:         /home/raid/crm98/cp2k_binaries/phy-cerberus/cp2k_feature_verlet_cells.psmp
# N_molecules: 64
# steps:       100
# mpi_ranks,omp_threads,total_cores,walltime_s,speedup
1,1,1,7.918,1.00
2,1,2,4.638,1.71
4,1,4,2.896,2.73
8,1,8,1.520,5.21
16,1,16,1.096,7.22
32,1,32,0.857,9.24
