# Green-Kubo viscosity from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/feature-nnp-native-spline/N64/seg5/H2O-64_feature-nnp-native-spline_seg5-1.stress
# n_molecules: 64
# volume_ang3: 1915.8645
# temperature_K: 300.0
# timestep_fs: 0.5
# discard_ps: 10.0
# int_limit_ps: 3.0
# n_frames_used: 180001
# eta_mPa_s: 0.841903
lag_fs,acf_normalized,running_eta_mPa_s
0.000,1.00000000,0.00000000
0.500,0.95820620,0.02240511
1.000,0.83774790,0.04295379
1.500,0.65273398,0.06000736
2.000,0.42452827,0.07233302
2.500,0.17894863,0.07923779
3.000,-0.05693790,0.08063380
3.500,-0.25795551,0.07703090
4.000,-0.40352348,0.06946249
4.500,-0.47968421,0.05935713
5.000,-0.48034038,0.04837287
5.500,-0.40767316,0.03821252
6.000,-0.27176298,0.03043865
6.500,-0.08946035,0.02630566
7.000,0.11741952,0.02662556
7.500,0.32445926,0.03168138
8.000,0.50736800,0.04119886
8.500,0.64479917,0.05438156
9.000,0.72090808,0.07000750
9.500,0.72727848,0.08657715
10.000,0.66390639,0.10249460
10.500,0.53907131,0.11625865
11.000,0.36812115,0.12663843
11.500,0.17138983,0.13281132
12.000,-0.02839983,0.13444736
12.500,-0.20885303,0.13173280
13.000,-0.35038799,0.12533416
13.500,-0.43823269,0.11631104
14.000,-0.46378622,0.10599045
14.500,-0.42528897,0.09581796
15.000,-0.32780773,0.08720130
15.500,-0.18257769,0.08136164
16.000,-0.00576627,0.07920668
16.500,0.18324868,0.08123737
17.000,0.36395348,0.08749827
17.500,0.51693903,0.09757713
18.000,0.62606782,0.11065501
18.500,0.68029841,0.12560200
19.000,0.67491331,0.14110786
19.500,0.61196606,0.15583188
20.000,0.49988057,0.16855324
20.500,0.35227266,0.17830328
21.000,0.18618529,0.18446413
21.500,0.02000565,0.18682330
22.000,-0.12864922,0.18558023
22.500,-0.24482442,0.18130708
23.000,-0.31770726,0.17487079
23.500,-0.34158065,0.16732745
24.000,-0.31620266,0.15980132
24.500,-0.24661914,0.15336171
25.000,-0.14245636,0.14891004
25.500,-0.01677446,0.14708818
26.000,0.11540689,0.14821670
26.500,0.23876771,0.15226904
27.000,0.33936268,0.15888381
27.500,0.40612869,0.16741346
28.000,0.43205074,0.17700361
28.500,0.41484741,0.18669353
29.000,0.35709850,0.19552586
29.500,0.26581217,0.20265299
30.000,0.15150457,0.20742778
30.500,0.02692405,0.20946930
31.000,-0.09441247,0.20869712
31.500,-0.19969635,0.20533203
32.000,-0.27815888,0.19986458
32.500,-0.32213097,0.19299627
33.000,-0.32774394,0.18556063
33.500,-0.29522372,0.17843285
34.000,-0.22876822,0.17243752
34.500,-0.13603041,0.16826362
