# branch:       feature-nnp-chebyshev
# exe:          /rds/user/crm98/hpc-work/cp2k_binaries/csd3/feature-nnp-chebyshev/cp2k.psmp
# N_molecules:  1024
# total_cores:  76
# steps:        20
# reps:         2 timed (+1 warm-up) per decomposition
# mpi_ranks,omp_threads,total_cores,rep,tps_s,peakmem_per_proc_mib
76,1,76,1,0.096200,317
76,1,76,2,0.100150,317
38,2,76,1,0.066950,277
38,2,76,2,0.066950,273
19,4,76,1,0.064850,251
19,4,76,2,0.065250,248
4,19,76,1,0.065450,291
4,19,76,2,0.065500,295
2,38,76,1,0.061650,359
2,38,76,2,0.060850,359
1,76,76,1,0.056900,481
1,76,76,2,0.057150,470
