# branch:    upstream-master
# exe:       /home/raid/crm98/cp2k_binaries/phy-cerberus/cp2k_master.psmp
# MPI ranks: 32
# steps:     100
# n_molecules,walltime_s
64,2.085
256,3.343
512,4.945
1024,8.783
2048,15.374
4096,30.895
