seg,nNa,nCl,frames,D_O_A2ps,D_Na_A2ps,D_Cl_A2ps,kNE_Sm,kOns_Sm,t_Na,sNaNa,sClCl,sNaCl
seg1,30,30,801,1.632303e-01,7.402994e-02,1.035788e-01,6.3837,10.7504,0.1845,5.672164e+00,3.963992e+01,-4.262846e+00
seg2,30,30,801,1.509140e-01,6.634861e-02,1.053928e-01,6.1728,3.1972,0.4265,7.722280e+00,1.007522e+01,8.928932e-01
seg3,30,30,801,1.420024e-01,6.670352e-02,9.962395e-02,5.9782,2.7225,-0.0268,2.033465e+01,3.469922e+01,2.069982e+01
seg4,30,30,801,1.788344e-01,1.015992e-01,1.327193e-01,8.4220,10.6693,0.5811,1.866004e+01,9.991902e+00,-1.238996e+01
seg5,30,30,801,1.575072e-01,8.057227e-02,9.881433e-02,6.4476,0.7198,-0.6359,1.151938e+01,1.970811e+01,1.381143e+01
