seg,nNa,nCl,frames,D_O_A2ps,D_Na_A2ps,D_Cl_A2ps,kNE_Sm,kOns_Sm,t_Na,sNaNa,sClCl,sNaCl
seg1,30,30,501,1.586887e-01,7.292463e-02,9.377269e-02,5.9915,7.2708,0.3765,1.129364e+01,2.028603e+01,-2.416294e+00
seg2,30,30,501,1.537732e-01,7.456176e-02,1.025995e-01,6.3676,2.8036,0.0640,1.273960e+00,1.351762e+01,3.757109e-01
seg3,30,30,501,1.420746e-01,7.274074e-02,9.242182e-02,5.9364,2.5169,0.9050,2.123405e+01,1.102533e+01,9.827448e+00
seg5,30,30,501,1.557543e-01,8.781863e-02,1.085408e-01,7.0577,-0.3794,1.4517,-2.669629e-01,3.349180e+00,2.491034e+00
