seg,nNa,nCl,frames,D_O_A2ps,D_Na_A2ps,D_Cl_A2ps,kNE_Sm,kOns_Sm,t_Na,sNaNa,sClCl,sNaCl
seg1,58,58,801,1.384970e-01,6.030666e-02,9.174720e-02,10.5661,23.6269,0.2361,2.248758e+01,8.492779e+01,-5.453974e+00
seg2,58,58,801,1.367209e-01,6.394572e-02,8.325747e-02,10.2290,8.4848,0.5375,1.538058e+01,1.218996e+01,-7.460704e+00
seg3,58,58,801,1.273010e-01,6.582515e-02,8.201532e-02,10.2733,16.3398,0.8476,6.725167e+01,1.036206e+01,-2.107909e+00
seg4,58,58,801,1.428931e-01,7.436735e-02,8.319369e-02,10.9488,8.6791,0.8142,5.058056e+01,2.326801e+01,1.519173e+01
seg5,58,58,801,1.432797e-01,7.532909e-02,1.038357e-01,12.4500,2.9278,0.9714,2.498065e+01,1.115714e+01,1.073775e+01
