seg,nNa,nCl,frames,D_O_A2ps,D_Na_A2ps,D_Cl_A2ps,kNE_Sm,kOns_Sm,t_Na,sNaNa,sClCl,sNaCl
seg1,109,109,801,1.144924e-01,4.944118e-02,6.740598e-02,15.2592,6.3107,-0.1100,3.007892e+01,6.863676e+01,3.355596e+01
seg2,109,109,801,1.234358e-01,6.491143e-02,7.090178e-02,17.7360,7.1548,0.4852,1.810279e+01,1.916543e+01,7.185341e-01
seg3,109,109,801,1.119502e-01,4.897955e-02,7.278554e-02,15.9015,9.6776,0.7700,3.528677e+01,9.119398e+00,-2.029483e+00
seg4,109,109,801,9.980873e-02,4.714790e-02,5.770284e-02,13.6926,4.3322,0.7001,7.085751e+01,6.217293e+01,5.566730e+01
seg5,109,109,801,1.060138e-01,4.886576e-02,6.088110e-02,14.3320,7.9698,-0.2023,5.318883e+00,6.137609e+01,1.339122e+01
