# branch:      openmp-implementation
# exe:         /home/raid/crm98/cp2k_binaries/phy-cerberus/cp2k_feature_verlet_cells.psmp
# N_molecules: 64
# steps:       100
# omp_threads: 2
# mpi_ranks,omp_threads,total_cores,walltime_s,speedup
1,2,2,10.934,1.00
2,2,4,6.208,1.76
4,2,8,3.616,3.02
8,2,16,2.072,5.28
16,2,32,1.426,7.67
18,2,36,1.334,8.20
