# diffusion from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/feature-nnp-chebyshev/N64/seg1/H2O-64_feature-nnp-chebyshev_seg1-pos-1.xyz
# species: O   n_atoms: 64   n_frames: 20001
# cell_ang: 12.4200 12.4200 12.4200
# dt_ps: 0.00500
# fit_window_ps: 20.000 79.995
# viscosity_mPa_s: 0.865861
# D_PBC_ang2_ps: 0.26866616
# YH_correction_ang2_ps: 0.05797469
# D_0_ang2_ps: 0.32664085
lag_ps,msd_ang2
0.00000,-0.00000000
0.00500,0.00111010
0.01000,0.00429470
0.01500,0.00945514
0.02000,0.01641013
0.02500,0.02506070
0.03000,0.03515461
0.03500,0.04648818
0.04000,0.05888484
0.04500,0.07221339
0.05000,0.08628194
0.05500,0.10088421
0.06000,0.11588881
0.06500,0.13118672
0.07000,0.14665648
0.07500,0.16216018
0.08000,0.17764198
0.08500,0.19308045
0.09000,0.20843729
0.09500,0.22366185
0.10000,0.23875484
0.10500,0.25375324
0.11000,0.26866743
0.11500,0.28348913
0.12000,0.29824273
0.12500,0.31297708
0.13000,0.32771533
0.13500,0.34245042
0.14000,0.35719725
0.14500,0.37198669
0.15000,0.38682718
0.15500,0.40169714
0.16000,0.41658847
0.16500,0.43151084
0.17000,0.44645512
0.17500,0.46138992
0.18000,0.47629276
0.18500,0.49116178
0.19000,0.50598320
0.19500,0.52072629
0.20000,0.53536928
0.20500,0.54990957
0.21000,0.56433987
0.21500,0.57863818
0.22000,0.59279065
0.22500,0.60679957
0.23000,0.62066532
0.23500,0.63437573
0.24000,0.64792325
0.24500,0.66131388
0.25000,0.67455179
0.25500,0.68763062
0.26000,0.70054540
0.26500,0.71330182
0.27000,0.72590463
0.27500,0.73834928
0.28000,0.75063190
0.28500,0.76275656
0.29000,0.77472810
0.29500,0.78654350
0.30000,0.79820033
0.30500,0.80970225
0.31000,0.82105428
0.31500,0.83225538
0.32000,0.84330464
0.32500,0.85420616
0.33000,0.86496537
0.33500,0.87558353
0.34000,0.88606139
0.34500,0.89640352
0.35000,0.90661561
0.35500,0.91669999
0.36000,0.92665826
0.36500,0.93649457
0.37000,0.94621408
0.37500,0.95581904
0.38000,0.96531104
0.38500,0.97469330
0.39000,0.98396978
0.39500,0.99314227
0.40000,1.00221187
0.40500,1.01118105
0.41000,1.02005277
0.41500,1.02882873
0.42000,1.03751001
0.42500,1.04609905
0.43000,1.05459874
0.43500,1.06301124
0.44000,1.07133833
0.44500,1.07958295
0.45000,1.08774842
0.45500,1.09583768
0.46000,1.10385353
0.46500,1.11179966
0.47000,1.11967960
0.47500,1.12749660
0.48000,1.13525363
0.48500,1.14295448
0.49000,1.15060258
0.49500,1.15820128
0.50000,1.16575346
0.50500,1.17326265
0.51000,1.18073166
0.51500,1.18816297
0.52000,1.19555869
0.52500,1.20292107
0.53000,1.21025218
0.53500,1.21755337
0.54000,1.22482628
0.54500,1.23207243
0.55000,1.23929344
0.55500,1.24649035
0.56000,1.25366431
0.56500,1.26081669
0.57000,1.26794855
0.57500,1.27506092
0.58000,1.28215468
0.58500,1.28923101
0.59000,1.29629073
0.59500,1.30333443
0.60000,1.31036282
0.60500,1.31737672
0.61000,1.32437687
0.61500,1.33136363
0.62000,1.33833770
0.62500,1.34529975
0.63000,1.35225034
0.63500,1.35918976
0.64000,1.36611897
0.64500,1.37303901
0.65000,1.37995076
0.65500,1.38685498
0.66000,1.39375278
0.66500,1.40064545
0.67000,1.40753399
0.67500,1.41441905
0.68000,1.42130167
0.68500,1.42818296
0.69000,1.43506380
0.69500,1.44194460
0.70000,1.44882627
0.70500,1.45570994
0.71000,1.46259627
0.71500,1.46948585
0.72000,1.47637923
0.72500,1.48327740
0.73000,1.49018037
0.73500,1.49708825
0.74000,1.50400090
0.74500,1.51091897
0.75000,1.51784224
0.75500,1.52477056
0.76000,1.53170356
0.76500,1.53864166
0.77000,1.54558486
0.77500,1.55253319
0.78000,1.55948679
0.78500,1.56644628
0.79000,1.57341210
0.79500,1.58038444
0.80000,1.58736361
0.80500,1.59435039
0.81000,1.60134516
0.81500,1.60834815
0.82000,1.61535960
0.82500,1.62238021
0.83000,1.62941025
0.83500,1.63644962
0.84000,1.64349819
0.84500,1.65055598
0.85000,1.65762290
0.85500,1.66469847
0.86000,1.67178249
0.86500,1.67887474
0.87000,1.68597535
0.87500,1.69308358
0.88000,1.70019882
0.88500,1.70732002
0.89000,1.71444654
0.89500,1.72157682
0.90000,1.72870975
0.90500,1.73584416
0.91000,1.74297922
0.91500,1.75011379
0.92000,1.75724695
0.92500,1.76437769
0.93000,1.77150518
0.93500,1.77862846
0.94000,1.78574711
0.94500,1.79286062
0.95000,1.79996887
0.95500,1.80707188
0.96000,1.81416958
0.96500,1.82126208
0.97000,1.82834955
0.97500,1.83543259
0.98000,1.84251165
0.98500,1.84958744
0.99000,1.85666082
0.99500,1.86373300
1.00000,1.87080524
1.00500,1.87787871
1.01000,1.88495447
1.01500,1.89203342
1.02000,1.89911663
1.02500,1.90620495
1.03000,1.91329913
1.03500,1.92039983
1.04000,1.92750749
1.04500,1.93462246
1.05000,1.94174460
1.05500,1.94887365
1.06000,1.95600877
1.06500,1.96314912
1.07000,1.97029358
1.07500,1.97744109
1.08000,1.98459028
1.08500,1.99174014
1.09000,1.99888971
1.09500,2.00603834
1.10000,2.01318528
1.10500,2.02033015
1.11000,2.02747286
1.11500,2.03461348
1.12000,2.04175229
1.12500,2.04888942
1.13000,2.05602525
1.13500,2.06315998
1.14000,2.07029415
1.14500,2.07742840
1.15000,2.08456327
1.15500,2.09169948
1.16000,2.09883747
1.16500,2.10597814
1.17000,2.11312185
1.17500,2.12026901
1.18000,2.12741965
1.18500,2.13457435
1.19000,2.14173358
1.19500,2.14889773
1.20000,2.15606715
1.20500,2.16324242
1.21000,2.17042415
1.21500,2.17761256
1.22000,2.18480808
1.22500,2.19201138
1.23000,2.19922335
1.23500,2.20644437
1.24000,2.21367464
1.24500,2.22091451
1.25000,2.22816418
1.25500,2.23542347
1.26000,2.24269219
1.26500,2.24997032
1.27000,2.25725759
1.27500,2.26455298
1.28000,2.27185577
1.28500,2.27916517
1.29000,2.28648035
1.29500,2.29379955
1.30000,2.30112156
1.30500,2.30844533
1.31000,2.31576987
1.31500,2.32309343
1.32000,2.33041481
1.32500,2.33773359
1.33000,2.34504923
1.33500,2.35236064
1.34000,2.35966704
1.34500,2.36696889
1.35000,2.37426675
1.35500,2.38156091
1.36000,2.38885157
1.36500,2.39614006
1.37000,2.40342764
1.37500,2.41071528
1.38000,2.41800371
1.38500,2.42529482
1.39000,2.43258979
1.39500,2.43988914
1.40000,2.44719264
1.40500,2.45450110
1.41000,2.46181445
1.41500,2.46913233
1.42000,2.47645342
1.42500,2.48377766
1.43000,2.49110458
1.43500,2.49843302
1.44000,2.50576093
1.44500,2.51308741
1.45000,2.52041150
1.45500,2.52773133
1.46000,2.53504478
1.46500,2.54235092
1.47000,2.54964951
1.47500,2.55693948
1.48000,2.56421946
1.48500,2.57148894
1.49000,2.57874820
1.49500,2.58599657
1.50000,2.59323335
1.50500,2.60045806
1.51000,2.60767170
1.51500,2.61487425
1.52000,2.62206597
1.52500,2.62924709
1.53000,2.63641903
1.53500,2.64358237
1.54000,2.65073735
1.54500,2.65788444
1.55000,2.66502492
1.55500,2.67215963
1.56000,2.67928896
1.56500,2.68641375
1.57000,2.69353538
1.57500,2.70065488
