# Green-Kubo viscosity from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/feature-nnp-chebyshev/N64/seg1/H2O-64_feature-nnp-chebyshev_seg1-1.stress
# n_molecules: 64
# volume_ang3: 1915.8645
# temperature_K: 300.0
# timestep_fs: 0.5
# discard_ps: 10.0
# int_limit_ps: 3.0
# n_frames_used: 180001
# eta_mPa_s: 0.865861
lag_fs,acf_normalized,running_eta_mPa_s
0.000,1.00000000,0.00000000
0.500,0.95840460,0.02231361
1.000,0.83849613,0.04278708
1.500,0.65425517,0.05979515
2.000,0.42687733,0.07211332
2.500,0.18202139,0.07905097
3.000,-0.05335467,0.08051697
3.500,-0.25411333,0.07701375
4.000,-0.39964333,0.06956500
4.500,-0.47590716,0.05958918
5.000,-0.47670480,0.04873534
5.500,-0.40411572,0.03869947
6.000,-0.26813437,0.03104001
6.500,-0.08554577,0.02701026
7.000,0.12188089,0.02742425
7.500,0.32975477,0.03257009
8.000,0.51378620,0.04218120
8.500,0.65259173,0.05547064
9.000,0.73023715,0.07122627
9.500,0.73815679,0.08795681
10.000,0.67614603,0.10407105
10.500,0.55226080,0.11806724
11.000,0.38164575,0.12870795
11.500,0.18449837,0.13515847
12.000,-0.01649227,0.13707269
12.500,-0.19884816,0.13461915
13.000,-0.34279793,0.12844776
13.500,-0.43330537,0.11960502
14.000,-0.46147416,0.10941011
14.500,-0.42526224,0.09930684
15.000,-0.32950296,0.09070722
15.500,-0.18526994,0.08484201
16.000,-0.00865083,0.08263253
16.500,0.18097428,0.08459594
17.000,0.36301185,0.09079399
17.500,0.51790132,0.10083091
18.000,0.62928987,0.11390175
18.500,0.68586923,0.12888636
19.000,0.68262496,0.14447867
19.500,0.62131594,0.15933547
20.000,0.51011468,0.17222673
20.500,0.36247092,0.18216877
21.000,0.19538037,0.18852480
21.500,0.02731748,0.19106217
22.000,-0.12388562,0.18996189
22.500,-0.24295938,0.18578215
23.000,-0.31872100,0.17938249
23.500,-0.34507887,0.17181931
24.000,-0.32146117,0.16422490
24.500,-0.25266787,0.15768341
25.000,-0.14818942,0.15311613
25.500,-0.02107158,0.15118761
26.000,0.11356008,0.15224141
26.500,0.24017096,0.15627174
27.000,0.34451202,0.16293348
27.500,0.41515433,0.17158894
28.000,0.44468894,0.18138580
28.500,0.43045247,0.19135696
29.000,0.37469803,0.20053066
29.500,0.28420383,0.20803803
30.000,0.16938552,0.21320612
30.500,0.04303803,0.21562643
31.000,-0.08113000,0.21519242
31.500,-0.18999530,0.21210328
32.000,-0.27239108,0.20683496
32.500,-0.32021710,0.20008291
33.000,-0.32919347,0.19268368
33.500,-0.29920271,0.18552388
34.000,-0.23420310,0.17944638
34.500,-0.14173257,0.17516305
35.000,-0.03205638,0.17318294
35.500,0.08295647,0.17376288
36.000,0.19111541,0.17688560
36.500,0.28121597,0.18226723
37.000,0.34423182,0.18939344
37.500,0.37425832,0.19757975
38.000,0.36909991,0.20604940
38.500,0.33043534,0.21401974
39.000,0.26354565,0.22078743
39.500,0.17664360,0.22580284
40.000,0.07989056,0.22872573
40.500,-0.01577848,0.22945621
41.000,-0.09988379,0.22813838
41.500,-0.16354567,0.22513693
42.000,-0.20042251,0.22098996
42.500,-0.20734687,0.21634393
43.000,-0.18459908,0.21187819
43.500,-0.13579686,0.20822767
44.000,-0.06741945,0.20591227
44.500,0.01197725,0.20528057
45.000,0.09276455,0.20647398
