# Green-Kubo viscosity from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/master/N64/seg2/H2O-64_master_seg2-1.stress
# n_molecules: 64
# volume_ang3: 1915.8645
# temperature_K: 300.0
# timestep_fs: 0.5
# discard_ps: 10.0
# int_limit_ps: 3.0
# n_frames_used: 180001
# eta_mPa_s: 0.512287
lag_fs,acf_normalized,running_eta_mPa_s
90.500,-0.02705306,0.20797926
91.000,-0.01629697,0.20747915
91.500,-0.00695167,0.20721094
92.000,0.00000767,0.20713083
92.500,0.00402913,0.20717740
93.000,0.00501507,0.20728174
93.500,0.00329665,0.20737763
94.000,-0.00044169,0.20741057
94.500,-0.00527587,0.20734461
95.000,-0.01017805,0.20716632
95.500,-0.01415670,0.20688558
96.000,-0.01638265,0.20653326
96.500,-0.01628543,0.20615638
97.000,-0.01360925,0.20581150
97.500,-0.00842415,0.20555731
98.000,-0.00109502,0.20544749
98.500,0.00778298,0.20552465
99.000,0.01747046,0.20581599
99.500,0.02717786,0.20633108
100.000,0.03615530,0.20706172
100.500,0.04376854,0.20798377
101.000,0.04955489,0.20906041
101.500,0.05325527,0.21024649
102.000,0.05482157,0.21149333
102.500,0.05439999,0.21275337
103.000,0.05229326,0.21398425
103.500,0.04890669,0.21515175
104.000,0.04468549,0.21623149
104.500,0.04005247,0.21720908
105.000,0.03535565,0.21807903
105.500,0.03083406,0.21884263
106.000,0.02660633,0.21950530
106.500,0.02268258,0.22007393
107.000,0.01899519,0.22055475
107.500,0.01544058,0.22095202
108.000,0.01192262,0.22126769
108.500,0.00838909,0.22150202
109.000,0.00485509,0.22165482
109.500,0.00141062,0.22172710
110.000,-0.00178686,0.22172276
110.500,-0.00453236,0.22164986
111.000,-0.00660166,0.22152141
111.500,-0.00778418,0.22135545
112.000,-0.00791634,0.22117432
112.500,-0.00691159,0.22100325
113.000,-0.00478291,0.22086834
113.500,-0.00165333,0.22079408
114.000,0.00224904,0.22080096
114.500,0.00661333,0.22090320
115.000,0.01108417,0.22110737
115.500,0.01531087,0.22141188
116.000,0.01899947,0.22180770
116.500,0.02195836,0.22228021
117.000,0.02412863,0.22281190
117.500,0.02559335,0.22338552
118.000,0.02656366,0.22398724
118.500,0.02734421,0.22460915
119.000,0.02828356,0.22525091
119.500,0.02971778,0.22592005
120.000,0.03191578,0.22663109
120.500,0.03503363,0.22740346
121.000,0.03908349,0.22825851
121.500,0.04392023,0.22921609
122.000,0.04924690,0.23029093
122.500,0.05463877,0.23148941
123.000,0.05958426,0.23280716
123.500,0.06353962,0.23422759
124.000,0.06599260,0.23572195
124.500,0.06652794,0.23725079
125.000,0.06488667,0.23876686
125.500,0.06101013,0.24021928
126.000,0.05506175,0.24155836
126.500,0.04742173,0.24274067
127.000,0.03865439,0.24373370
127.500,0.02945136,0.24451940
128.000,0.02055789,0.24509634
128.500,0.01269153,0.24547993
129.000,0.00646352,0.24570091
129.500,0.00231268,0.24580216
130.000,0.00045943,0.24583414
130.500,0.00088496,0.24584965
131.000,0.00333733,0.24589836
131.500,0.00736329,0.24602181
132.000,0.01236205,0.24624937
132.500,0.01765551,0.24659567
133.000,0.02256737,0.24705971
133.500,0.02650284,0.24762581
134.000,0.02901988,0.24826635
134.500,0.02988337,0.24894590
135.000,0.02909512,0.24962631
135.500,0.02689523,0.25027225
136.000,0.02373382,0.25085633
136.500,0.02021594,0.25136336
137.000,0.01702611,0.25179301
137.500,0.01484132,0.25216065
138.000,0.01424344,0.25249619
138.500,0.01564185,0.25284096
139.000,0.01921597,0.25324311
139.500,0.02488515,0.25375188
140.000,0.03230955,0.25441171
140.500,0.04092206,0.25525656
141.000,0.04998733,0.25630534
141.500,0.05868111,0.25755901
142.000,0.06618036,0.25899948
142.500,0.07175404,0.26059078
143.000,0.07484411,0.26228202
143.500,0.07512785,0.26401219
144.000,0.07255443,0.26571594
144.500,0.06735188,0.26732998
145.000,0.06000349,0.26879923
145.500,0.05119622,0.27008209
146.000,0.04174664,0.27115434
146.500,0.03251253,0.27201104
147.000,0.02429991,0.27266646
147.500,0.01777617,0.27315187
148.000,0.01339912,0.27351153
148.500,0.01137040,0.27379729
149.000,0.01161875,0.27406250
149.500,0.01381500,0.27435592
150.000,0.01741733,0.27471624
150.500,0.02174107,0.27516799
151.000,0.02604468,0.27571928
151.500,0.02962109,0.27636147
152.000,0.03188353,0.27707102
152.500,0.03243534,0.27781304
153.000,0.03111622,0.27854621
153.500,0.02801997,0.27922844
154.000,0.02348240,0.27982261
154.500,0.01804145,0.28030165
155.000,0.01237395,0.28065254
155.500,0.00721635,0.28087855
156.000,0.00327786,0.28099961
156.500,0.00115585,0.28105076
157.000,0.00126303,0.28107867
157.500,0.00377508,0.28113679
158.000,0.00860520,0.28127962
158.500,0.01540917,0.28155666
159.000,0.02362073,0.28200693
159.500,0.03251362,0.28265453
160.000,0.04128263,0.28350589
160.500,0.04913359,0.28454899
161.000,0.05537109,0.28575461
161.500,0.05947297,0.28707952
162.000,0.06114311,0.28847102
162.500,0.06033729,0.28987249
163.000,0.05726022,0.29122917
163.500,0.05233543,0.29249353
164.000,0.04615244,0.29362974
164.500,0.03939732,0.29461670
165.000,0.03277448,0.29544931
165.500,0.02692790,0.29613808
166.000,0.02237056,0.29670681
166.500,0.01942975,0.29718905
167.000,0.01821479,0.29762334
167.500,0.01861110,0.29804818
168.000,0.02030151,0.29849710
168.500,0.02281211,0.29899449
169.000,0.02557674,0.29955273
169.500,0.02801143,0.30017095
170.000,0.02958899,0.30083547
170.500,0.02990444,0.30152182
171.000,0.02872334,0.30219818
171.500,0.02600843,0.30282960
172.000,0.02192239,0.30338256
172.500,0.01680766,0.30382937
173.000,0.01114620,0.30415187
173.500,0.00550412,0.30434395
174.000,0.00046709,0.30441284
174.500,-0.00342631,0.30437870
175.000,-0.00574596,0.30427289
175.500,-0.00621934,0.30413485
176.000,-0.00476230,0.30400816
176.500,-0.00148791,0.30393605
177.000,0.00330790,0.30395705
177.500,0.00918187,0.30410114
178.000,0.01559551,0.30438698
178.500,0.02197679,0.30482044
179.000,0.02778360,0.30539450
179.500,0.03256113,0.30609068
180.000,0.03598663,0.30688148
180.500,0.03789707,0.30773385
181.000,0.03829757,0.30861288
181.500,0.03735081,0.30948560
182.000,0.03534955,0.31032432
182.500,0.03267562,0.31110910
183.000,0.02975048,0.31182928
183.500,0.02698294,0.31248379
184.000,0.02472022,0.31308027
184.500,0.02320836,0.31363320
185.000,0.02256641,0.31416129
185.500,0.02277733,0.31468440
186.000,0.02369595,0.31522054
186.500,0.02507237,0.31578316
187.000,0.02658728,0.31637914
187.500,0.02789455,0.31700768
188.000,0.02866578,0.31766019
188.500,0.02863162,0.31832121
189.000,0.02761506,0.31897010
189.500,0.02555329,0.31958348
190.000,0.02250579,0.32013792
