# branch:    upstream-master
# exe:       /local/data/public/crm98/cp2k_binaries/phy-cerberus/master/cp2k.psmp
# MPI ranks: 36
# OMP threads: 1
# steps:     100
# n_molecules,walltime_s
64,1.179
256,2.835
512,5.745
1024,13.492
2048,41.251
4096,239.065
