   1    1        1.013992081       9.497758091       2.260013353
   1    2        0.692548955       4.950485361       1.323616299
   1    3        0.728109434       7.059121681       1.643788049
   1    4        0.530224829       3.733488848       1.016256439
   1    5        0.380683897       4.108531534       0.913326131
   1    6        0.364731615       2.258143787       0.653690645
   1    7        0.189191039       2.220890276       0.463441717
   1    8        0.267041787       1.316549996       0.430030720
   1    9        0.234325526       0.947445226       0.369653219
   1   10        0.222489101       2.754103370       0.552151479
   1   11        0.133742380       0.563846310       0.270694833
   1   12        0.120792149       1.720435757       0.302592870
   1   13        0.048458873       0.359423802       0.183841444
   1   14        0.027024967       0.909261732       0.148339171
   1   15        0.002454311       0.285379462       0.074187214
   1   16        0.000224225       0.315474021       0.041838593
   1   17        0.000218542       0.138311762       0.019018918
   1   18        0.004490140       0.570512423       0.024997176
   1   19        0.000270028       0.216720232       0.018229754
   1   20        0.051394921       1.653402202       0.150277654
   1   21        0.003407347       0.315497701       0.019017358
   1   22        0.000131732       0.102562952       0.006886955
   1   23        0.034213548       0.906916800       0.084461759
   1   24        0.000451545       0.156699528       0.004955449
   1   25        0.000905049       0.059139541       0.003796613
   1   26        0.008704025       0.193767996       0.024829936
   1   27        0.000162793       0.009821576       0.001966422
   2    1        1.443425164       9.885203221       2.647232598
   2    2        0.384691254       4.567521589       0.962174940
   2    3        1.162687506       7.447451501       2.032512879
   2    4        0.245444423       3.353816578       0.659418883
   2    5        0.821855400       4.496753469       1.307381290
   2    6        0.093831856       1.880787551       0.311491896
   2    7        0.569491417       2.605524633       0.860061440
   2    8        0.026155770       0.937436519       0.116542855
   2    9        0.518022256       1.857896213       0.739306439
   2   10        0.123978695       2.891242047       0.488292272
   2   11        0.361483898       1.081085687       0.541389666
   2   12        0.051088081       2.514775859       0.339546776
   2   13        0.143528720       0.655034290       0.367682887
   2   14        0.008556904       2.290599999       0.201501669
   2   15        0.007242151       0.419807107       0.148374428
   2   16        0.000097264       2.018035661       0.065638787
   2   17        0.002328749       0.343192278       0.017572735
   2   18        0.000020739       0.056568536       0.001075867
   2   19        0.047750201       2.950474803       0.210208501
   2   20        0.001030548       0.485941038       0.013327297
   2   21        0.008325480       0.269437653       0.032259192
   2   22        0.014327655       1.387128209       0.078685308
   2   23        0.019759832       0.410632432       0.051065236
   2   24        0.000753103       0.235050140       0.007704683
   2   25        0.000003657       0.035430179       0.000449615
   2   26        0.017014371       0.813343961       0.052413881
   2   27        0.005744040       0.776790466       0.039664932
   2   28        0.000017575       0.097757167       0.001276215
   2   29        0.005846924       0.102055520       0.016732363
   2   30        0.003472946       0.154007064       0.011894186
