# branch:      feature-nnp-verlet-cells
# exe:         /home/raid/crm98/cp2k_binaries/phy-cerberus/cp2k_feature_verlet_cells.psmp
# N_molecules: 64
# steps:       100
# mpi_ranks,omp_threads,total_cores,walltime_s,speedup
1,1,1,9.911,1.00
2,1,2,5.634,1.76
4,1,4,3.283,3.02
8,1,8,1.913,5.18
16,1,16,1.107,8.95
32,1,32,0.954,10.39
